"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"KMT2B",7.10588102196225e-09,0.115625,0.221625766871166,"(74,289,566,1015)","TRUE","263/2269 (0.115910092551785)",1.05167039125041e-06
"CELSR3",5.06513407988305e-08,0.105845181674566,0.203588143525741,"(67,261,566,1021)","TRUE","253/2244 (0.112745098039216)",3.74819921911346e-06
"RNF213",1.22965771471201e-07,0.162790697674419,0.268476621417798,"(105,356,540,970)","TRUE","336/2309 (0.145517540060632)",6.06631139257925e-06
"ZFHX3",1.22645333639834e-06,0.181679389312977,0.27985347985348,"(119,382,536,983)","TRUE","375/2374 (0.157961246840775)",4.53787734467387e-05
"HMCN1",2.00236827904695e-06,0.268292682926829,0.374461979913917,"(176,522,480,872)","TRUE","533/2453 (0.217284957195271)",5.92701010597898e-05
"DNAH10",2.62359568817259e-06,0.158950617283951,0.250953470633105,"(103,329,545,982)","TRUE","340/2323 (0.14636246233319)",6.47153603082572e-05
"MYO15A",4.58052617493071e-06,0.107424960505529,0.187697160883281,"(68,238,565,1030)","TRUE","260/2251 (0.115504220346513)",9.58213936813404e-05
"HERC2",5.17953479358597e-06,0.1953125,0.290515309932786,"(125,389,515,950)","TRUE","395/2343 (0.168587281263338)",9.58213936813404e-05
"MEGF8",1.65980668151856e-05,0.105678233438486,0.180392156862745,"(67,230,567,1045)","TRUE","224/2231 (0.100403406544151)",0.000272945987627497
"RELN",2.17549140673858e-05,0.1828125,0.269767441860465,"(117,348,523,942)","TRUE","374/2294 (0.163034001743679)",0.00032197272819731
"CHD8",2.62788732938579e-05,0.131868131868132,0.21015625,"(84,269,553,1011)","TRUE","239/2230 (0.107174887892377)",0.000353570295226452
"SDK1",2.97909449571194e-05,0.108974358974359,0.182108626198083,"(68,228,556,1024)","TRUE","244/2204 (0.11070780399274)",0.000367421654471139
"KMT2D",3.48433809875686e-05,0.316931982633864,0.409556313993174,"(219,600,472,865)","TRUE","619/2585 (0.239458413926499)",0.000396678491243089
"PTEN",4.22451784163961e-05,0.136434108527132,0.212382445141066,"(88,271,557,1005)","TRUE","271/2259 (0.119964586100044)",0.000446591886116187
"DNAH3",4.58112624158676e-05,0.153846153846154,0.233463035019455,"(98,300,539,985)","TRUE","349/2296 (0.152003484320557)",0.000452004455836561
"KMT2C",9.83556993873302e-05,0.266566265060241,0.353113553113553,"(177,482,487,883)","TRUE","500/2422 (0.206440957886045)",0.000909790219332805
"LRP1",0.00019596631196402,0.174772036474164,0.248296744890235,"(115,328,543,993)","TRUE","350/2345 (0.149253731343284)",0.00170605965709853
"TENM2",0.000241401805083096,0.124006359300477,0.190975020145044,"(78,237,551,1004)","TRUE","262/2206 (0.118766999093382)",0.00198485928623879
"APC",0.000343710803773993,0.191131498470948,0.263670411985019,"(125,352,529,983)","TRUE","356/2339 (0.152201795639162)",0.00267732626097636
"LRP2",0.000375105827823524,0.208909370199693,0.283875851627555,"(136,375,515,946)","TRUE","434/2373 (0.182890855457227)",0.00277578312589407
"COL22A1",0.000598610396943863,0.124401913875598,0.186946011281225,"(78,232,549,1009)","TRUE","247/2195 (0.1125284738041)",0.00421778410239174
"MYCBP2",0.000626967907112286,0.163109756097561,0.228614685844058,"(107,302,549,1019)","TRUE","317/2332 (0.135934819897084)",0.00421778410239174
"CENPF",0.000857118872008699,0.14218009478673,0.204581358609795,"(90,259,543,1007)","TRUE","262/2225 (0.117752808988764)",0.00532066238554844
"NIPBL",0.000866411731026607,0.155038759689922,0.218629715165512,"(100,284,545,1015)","TRUE","266/2261 (0.117647058823529)",0.00532066238554844
"VPS13B",0.000910478294634611,0.168224299065421,0.233826968043648,"(108,300,534,983)","TRUE","322/2273 (0.141663000439947)",0.00532066238554844
"DSCAM",0.000960962938931536,0.124006359300477,0.182897862232779,"(78,231,551,1032)","TRUE","258/2229 (0.115746971736205)",0.00532066238554844
"DNAH5",0.000970661381147351,0.262611275964392,0.334534967555876,"(177,464,497,923)","TRUE","504/2468 (0.204213938411669)",0.00532066238554844
"SI",0.00112336322713287,0.144427001569859,0.206185567010309,"(92,260,545,1001)","TRUE","279/2234 (0.124888093106535)",0.00593777705770229
"DNAH6",0.00177186496522965,0.147619047619048,0.206624605678233,"(93,262,537,1006)","TRUE","322/2280 (0.141228070175439)",0.00879506755991854
"MUC5B",0.00178278396484835,0.251141552511416,0.319022945965951,"(165,431,492,920)","TRUE","464/2403 (0.193091968372867)",0.00879506755991854
"MXRA5",0.00186319042672995,0.119047619047619,0.173948220064725,"(75,215,555,1021)","TRUE","219/2182 (0.100366636113657)",0.00889523171471075
"TPR",0.00215911755399154,0.123613312202853,0.178027265437049,"(78,222,553,1025)","TRUE","220/2194 (0.100273473108478)",0.00998591868721089
"RP1",0.00225836328662089,0.138629283489097,0.194488188976378,"(89,247,553,1023)","TRUE","264/2249 (0.117385504668742)",0.0101226106595797
"TRRAP",0.0023754875823299,0.141732283464567,0.1984375,"(90,254,545,1026)","TRUE","269/2246 (0.119768477292965)",0.0101226106595797
"LAMA1",0.00239386062895466,0.19309262166405,0.256087981146897,"(123,326,514,947)","TRUE","339/2256 (0.150265957446809)",0.0101226106595797
"MUC2",0.00297870856612817,0.105678233438486,0.155645161290323,"(67,193,567,1047)","TRUE","234/2216 (0.105595667870036)",0.0122458018829714
"BSN",0.00313531026465756,0.144634525660964,0.199528672427337,"(93,254,550,1019)","TRUE","273/2254 (0.12111801242236)",0.0125412410586302
"VPS13C",0.00331196378773837,0.149136577708006,0.205229793977813,"(95,259,542,1003)","TRUE","266/2226 (0.119496855345912)",0.012601980782481
"WDFY3",0.00332079223322133,0.118589743589744,0.170988654781199,"(74,211,550,1023)","TRUE","226/2184 (0.103479853479853)",0.012601980782481
"CEP350",0.00347440657216512,0.119617224880383,0.170967741935484,"(75,212,552,1028)","TRUE","222/2191 (0.101323596531264)",0.0128296179909726
"DSP",0.00363767742093682,0.128164556962025,0.180732484076433,"(81,227,551,1029)","TRUE","239/2217 (0.107803337843933)",0.0128296179909726
"TNXB",0.00364083753797872,0.161741835147745,0.218139171227521,"(104,279,539,1000)","TRUE","314/2278 (0.13784021071115)",0.0128296179909726
"TNRC18",0.00383606034858273,0.173643410852713,0.23053199691596,"(112,299,533,998)","TRUE","309/2278 (0.135645302897278)",0.0132031844555871
"SMARCA4",0.0041765909029284,0.143081761006289,0.196957566052842,"(91,246,545,1003)","TRUE","238/2197 (0.108329540282203)",0.0136796726328997
"GNAS",0.00421242282631696,0.118670886075949,0.169082125603865,"(75,210,557,1032)","TRUE","232/2207 (0.105120072496602)",0.0136796726328997
"ARID1A",0.00425179014265802,0.20933734939759,0.268567141785446,"(139,358,525,975)","TRUE","350/2333 (0.15002143163309)",0.0136796726328997
"FREM2",0.00440605880935143,0.120443740095087,0.170947030497592,"(76,213,555,1033)","TRUE","236/2210 (0.106787330316742)",0.0138743979528513
"PLXNB1",0.00469796883541248,0.0818619582664527,0.125714285714286,"(51,154,572,1071)","TRUE","246/2181 (0.112792297111417)",0.0144854039091885
"TCHH",0.00546135214782417,0.13946117274168,0.190784155214228,"(88,236,543,1001)","TRUE","251/2196 (0.114298724954463)",0.0162147287834045
"UNC13C",0.00547794891331233,0.17601246105919,0.230889235569423,"(113,296,529,986)","TRUE","294/2260 (0.130088495575221)",0.0162147287834045
"LAMA5",0.00714342340764327,0.203647416413374,0.258513931888545,"(134,334,524,958)","TRUE","352/2302 (0.152910512597741)",0.0207299345947295
"KIAA1109",0.008421063031764,0.218989280245023,0.274045801526718,"(143,359,510,951)","TRUE","373/2310 (0.161471861471861)",0.0228770566662388
"RANBP2",0.00843994541553766,0.139968895800933,0.188888888888889,"(90,238,553,1022)","TRUE","248/2224 (0.111510791366906)",0.0228770566662388
"DNAH11",0.00845282202612004,0.209302325581395,0.264180264180264,"(135,340,510,947)","TRUE","402/2327 (0.172754619681994)",0.0228770566662388
"LRP1B",0.00850160889623739,0.405442176870748,0.4645987862441,"(298,689,437,794)","TRUE","749/2694 (0.278025241276912)",0.0228770566662388
"UBR5",0.00876072420956258,0.141304347826087,0.189465408805031,"(91,241,553,1031)","TRUE","230/2224 (0.10341726618705)",0.023153342553844
"USH2A",0.00952259567074502,0.351198871650212,0.41027445460943,"(249,583,460,838)","TRUE","654/2583 (0.253193960511034)",0.0247253361275485
"KIAA1549",0.00987411397785995,0.123809523809524,0.170056956875509,"(78,209,552,1020)","TRUE","227/2189 (0.103700319780722)",0.0249219482992655
"CELSR1",0.00993510101119369,0.113744075829384,0.157894736842105,"(72,198,561,1056)","TRUE","237/2226 (0.106469002695418)",0.0249219482992655
"ZNF292",0.0102118606235727,0.145367412140575,0.19336569579288,"(91,239,535,997)","TRUE","228/2164 (0.105360443622921)",0.0251892562048127
"VPS13A",0.0116838478610975,0.130708661417323,0.17585931254996,"(83,220,552,1031)","TRUE","230/2207 (0.104213864975079)",0.0283476964498759
"ACACB",0.0120632517929213,0.123028391167192,0.167464114832536,"(78,210,556,1044)","TRUE","235/2221 (0.105808194506979)",0.0287961494411669
"ITPR2",0.0135480069419488,0.128325508607199,0.172633253778839,"(82,217,557,1040)","TRUE","225/2210 (0.101809954751131)",0.0314435423830264
"DNAH2",0.0135972075169844,0.166921898928025,0.214671814671815,"(109,278,544,1017)","TRUE","303/2293 (0.132141299607501)",0.0314435423830264
"KMT2A",0.0141675293706423,0.160741885625966,0.208006279434851,"(104,265,543,1009)","TRUE","269/2251 (0.119502443358507)",0.032258374567001
"DST",0.0164495782704303,0.357653791130186,0.411764705882353,"(250,602,449,860)","TRUE","640/2594 (0.246723207401696)",0.036886933091268
"TENM1",0.0169444181279061,0.1152,0.156275303643725,"(72,193,553,1042)","TRUE","225/2197 (0.102412380518889)",0.0374294609392553
"TENM3",0.0179493080019473,0.1453125,0.188888888888889,"(93,238,547,1022)","TRUE","258/2231 (0.115643209323173)",0.0390661409454146
"RYR1",0.0217440695321663,0.275449101796407,0.326323422770123,"(184,450,484,929)","TRUE","493/2439 (0.202132021320213)",0.0466394534892843
"TNRC6B",0.0222422659919792,0.156534954407295,0.19921875,"(103,255,555,1025)","TRUE","230/2232 (0.103046594982079)",0.0470265052401846
"MGAM",0.0242321401767007,0.1234375,0.162903225806452,"(79,202,561,1038)","TRUE","246/2228 (0.110412926391382)",0.05006262418485
"UNC80",0.0243547901439811,0.14375,0.185680566483084,"(92,236,548,1035)","TRUE","293/2275 (0.128791208791209)",0.05006262418485
"EYS",0.0265779156647893,0.178403755868545,0.222665602553871,"(114,279,525,974)","TRUE","339/2265 (0.149668874172185)",0.0536789679215465
"MDN1",0.0268394839607733,0.200607902735562,0.245788667687596,"(132,321,526,985)","TRUE","358/2316 (0.154576856649396)",0.0536789679215465
"LAMA3",0.0287804635252998,0.115873015873016,0.15359477124183,"(73,188,557,1036)","TRUE","220/2184 (0.100732600732601)",0.0567934480232583
"COL11A1",0.0298006950968802,0.18558282208589,0.229133858267717,"(121,291,531,979)","TRUE","302/2252 (0.134103019538188)",0.0580329325570825
"MYO9A",0.031442479222717,0.131746031746032,0.170988654781199,"(83,211,547,1023)","TRUE","221/2183 (0.101236830050389)",0.0604348951293781
"DNAH7",0.0320559409542819,0.211508553654743,0.256589147286822,"(136,331,507,959)","TRUE","400/2331 (0.171600171600172)",0.06082409309274
"DNAH17",0.0331102189996278,0.184375,0.226593233674272,"(118,288,522,983)","TRUE","390/2321 (0.16803102111159)",0.0620292710372775
"ABCA13",0.0336515772499458,0.290178571428571,0.338049143708116,"(195,454,477,889)","TRUE","493/2405 (0.204989604989605)",0.0622554179123998
"MGA",0.034167649505768,0.154779969650986,0.194683346364347,"(102,249,557,1030)","TRUE","253/2264 (0.111749116607774)",0.0624297793438724
"ROBO2",0.035245949440266,0.128980891719745,0.166801619433198,"(81,206,547,1029)","TRUE","242/2203 (0.109850204266909)",0.0636146404531631
"UNC79",0.03674178363919,0.152173913043478,0.19175911251981,"(98,242,546,1020)","TRUE","268/2241 (0.119589468987059)",0.0655154696216882
"DCHS2",0.0430208772301445,0.206896551724138,0.248656945510361,"(138,324,529,979)","TRUE","351/2323 (0.151097718467499)",0.0757986884531118
"HUWE1",0.0466638642655144,0.125396825396825,0.160572337042925,"(79,202,551,1056)","TRUE","239/2223 (0.107512370670265)",0.0812500224858368
"LAMA2",0.0484333652505004,0.163833075734158,0.201726844583987,"(106,257,541,1017)","TRUE","269/2250 (0.119555555555556)",0.083350442524117
"CHD9",0.0490325985302565,0.152886115444618,0.18933969769292,"(98,238,543,1019)","TRUE","244/2216 (0.110108303249097)",0.0834117768100915
"MUC16",0.051219853534813,0.670293797606094,0.706268958543984,"(616,1397,303,581)","TRUE","1617/3683 (0.43904425739886)",0.0858125204502654
"MKI67",0.0516034751356326,0.14622641509434,0.182769726247987,"(93,227,543,1015)","TRUE","243/2211 (0.109905020352782)",0.0858125204502654
