"","pvalues","AMPLIFIED_DELETERIOUS/(AMPLIFIED_DELETERIOUS+AMPLIFIED_WT)","NON_AMPLIFIED_DELETERIOUS/(NON_AMPLIFIED_DELETERIOUS+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"USP34",0.0224538893344026,0,0.114285714285714,"(NA,4,53,31)","TRUE","14/117 (0.11965811965812)",0.579087909812476
"FLG",0.0381868109090403,0.209302325581395,0.032258064516129,"(9,1,34,30)","TRUE","30/122 (0.245901639344262)",0.579087909812476
"PTEN",0.0534148017878009,0.101694915254237,0.256410256410256,"(6,10,53,29)","TRUE","14/114 (0.12280701754386)",0.579087909812476
"ARID1A",0.0647596485921579,0.0689655172413793,0.2,"(4,8,54,32)","TRUE","12/111 (0.108108108108108)",0.579087909812476
"DST",0.0689390368824376,0.0416666666666667,0.166666666666667,"(2,6,46,30)","TRUE","25/127 (0.196850393700787)",0.579087909812476
"WDFY4",0.142336789016531,0.0784313725490196,0,"(4,NA,47,35)","TRUE","12/111 (0.108108108108108)",0.882911392405063
"AHNAK",0.147151898734177,0,0.0645161290322581,"(NA,2,49,29)","TRUE","13/107 (0.121495327102804)",0.882911392405063
"TP53",0.258419199808883,0.575,0.388888888888889,"(23,7,17,11)","TRUE","53/120 (0.441666666666667)",1
"HERC1",0.305423926514544,0.0196078431372549,0.0810810810810811,"(1,3,50,34)","TRUE","14/112 (0.125)",1
"KMT2C",0.462945141277936,0.0740740740740741,0.125,"(4,4,50,28)","TRUE","16/114 (0.140350877192982)",1
"FRAS1",0.509626523685722,0.137254901960784,0.0810810810810811,"(7,3,44,34)","TRUE","14/111 (0.126126126126126)",1
"NES",0.521477428180575,0.0377358490566038,0,"(2,NA,51,33)","TRUE","11/110 (0.1)",1
"XIRP2",0.523938572719061,0.0392156862745098,0,"(2,NA,49,31)","TRUE","12/109 (0.110091743119266)",1
"USH2A",0.533515731874145,0.0363636363636364,0,"(2,NA,53,31)","TRUE","15/116 (0.129310344827586)",1
"HMCN1",0.636237446763763,0.0416666666666667,0.0666666666666667,"(2,2,46,28)","TRUE","23/116 (0.198275862068966)",1
"KIAA1109",0.638346577239921,0.037037037037037,0.0588235294117647,"(2,2,52,32)","TRUE","12/110 (0.109090909090909)",1
"VPS13B",0.673459037307405,0.0666666666666667,0.103448275862069,"(3,3,42,26)","TRUE","22/116 (0.189655172413793)",1
"ASH1L",0.713379027995563,0.0740740740740741,0.105263157894737,"(4,4,50,34)","TRUE","13/111 (0.117117117117117)",1
"LRP1B",0.713716845994025,0.0816326530612245,0.114285714285714,"(4,4,45,31)","TRUE","17/115 (0.147826086956522)",1
"MUC5B",0.732886995883288,0.14,0.09375,"(7,3,43,29)","TRUE","21/115 (0.182608695652174)",1
"RYR2",0.740428719706987,0.12280701754386,0.0909090909090909,"(7,3,50,30)","TRUE","16/117 (0.136752136752137)",1
"MUC16",0.74237990327255,0.170731707317073,0.217391304347826,"(7,5,34,18)","TRUE","56/157 (0.356687898089172)",1
"URB1",0.743203670467643,0.116666666666667,0.0882352941176471,"(7,3,53,31)","TRUE","12/112 (0.107142857142857)",1
"KRT16",0.757999529762469,0.131147540983607,0.0975609756097561,"(8,4,53,37)","TRUE","12/119 (0.100840336134454)",1
"ADCY8",1,0.0185185185185185,0.0263157894736842,"(1,1,53,37)","TRUE","12/117 (0.102564102564103)",1
"ZFHX4",1,0,0,"(NA,NA,45,33)","TRUE","23/122 (0.188524590163934)",1
"BIRC6",1,0.0769230769230769,0.0625,"(4,2,48,30)","TRUE","14/110 (0.127272727272727)",1
"DNAH7",1,0.0454545454545455,0.0588235294117647,"(2,2,42,32)","TRUE","20/114 (0.175438596491228)",1
"ABCA8",1,0.0769230769230769,0.0555555555555556,"(4,2,48,34)","TRUE","11/107 (0.102803738317757)",1
"MUC4",1,0.025,0.0416666666666667,"(1,1,39,23)","TRUE","39/135 (0.288888888888889)",1
"TTN",1,0.28,0.263157894736842,"(7,5,18,14)","TRUE","108/234 (0.461538461538462)",1
"DCHS1",1,0.0192307692307692,0.0294117647058824,"(1,1,51,33)","TRUE","13/114 (0.114035087719298)",1
"KMT2D",1,0.0192307692307692,0.03125,"(1,1,51,31)","TRUE","11/109 (0.100917431192661)",1
"MUC17",1,0.0204081632653061,0.032258064516129,"(1,1,48,30)","TRUE","14/108 (0.12962962962963)",1
"ABCA13",1,0.0555555555555556,0.0333333333333333,"(3,1,51,29)","TRUE","21/118 (0.177966101694915)",1
"DDX51",1,0,0,"(NA,NA,57,37)","TRUE","15/129 (0.116279069767442)",1
"AHNAK2",1,0.0188679245283019,0.0303030303030303,"(1,1,52,32)","TRUE","15/118 (0.127118644067797)",1
"EYS",1,0,0,"(NA,NA,53,33)","TRUE","12/110 (0.109090909090909)",1
"RELN",1,0,0,"(NA,NA,53,31)","TRUE","11/110 (0.1)",1
"NF1",1,0.137931034482759,0.15,"(8,6,50,34)","TRUE","12/110 (0.109090909090909)",1
"RYR3",1,0,0,"(NA,NA,51,31)","TRUE","12/110 (0.109090909090909)",1
"ZDBF2",1,0.0178571428571429,0.0277777777777778,"(1,1,55,35)","TRUE","12/110 (0.109090909090909)",1
