"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"IL20",0.00307692307692308,1,0,"(2,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"SLC6A19",0.00307692307692308,1,0,"(2,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"MAGEA2",0.0396825396825397,1,0.153846153846154,"(2,4,NA,22)","TRUE","6/28 (0.214285714285714)",1
"ZMYND12",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"BRINP1",0.04,1,0,"(1,NA,NA,24)","TRUE","4/28 (0.142857142857143)",1
"DDHD1",0.04,1,0,"(1,NA,NA,24)","TRUE","5/29 (0.172413793103448)",1
"SLCO4A1",0.04,1,0,"(1,NA,NA,24)","TRUE","5/29 (0.172413793103448)",1
"NOD1",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"PLXNA1",0.04,1,0,"(1,NA,NA,24)","TRUE","6/30 (0.2)",1
"DNAH6",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"PODXL",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"LRRIQ1",0.04,1,0,"(1,NA,NA,24)","TRUE","5/29 (0.172413793103448)",1
"SEMA4F",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"SLC44A5",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"KIF21A",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"PRKD1",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"BRF1",0.04,1,0,"(1,NA,NA,24)","TRUE","4/28 (0.142857142857143)",1
"ZNF429",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"ZNF334",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"DCAF12L1",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"RAD51AP2",0.04,1,0,"(1,NA,NA,24)","TRUE","3/27 (0.111111111111111)",1
"KARS",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","3/26 (0.115384615384615)",1
"PRKCQ",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","4/27 (0.148148148148148)",1
"SLC6A4",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","4/27 (0.148148148148148)",1
"PRDM2",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","6/29 (0.206896551724138)",1
"IQSEC2",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","6/29 (0.206896551724138)",1
"TNKS1BP1",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","5/28 (0.178571428571429)",1
"ANO4",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","3/26 (0.115384615384615)",1
"SHROOM4",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","4/27 (0.148148148148148)",1
"ABCE1",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","3/26 (0.115384615384615)",1
"ANKS3",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","3/26 (0.115384615384615)",1
"XIRP1",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","5/28 (0.178571428571429)",1
"CEL",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","4/27 (0.148148148148148)",1
"XKR6",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","4/27 (0.148148148148148)",1
"PODN",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","3/26 (0.115384615384615)",1
"CD19",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","3/26 (0.115384615384615)",1
"TMEM132E",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","3/26 (0.115384615384615)",1
"IQGAP3",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","3/26 (0.115384615384615)",1
"ZNF358",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","3/26 (0.115384615384615)",1
"GRID2IP",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","4/27 (0.148148148148148)",1
"ZNF487",0.08,1,0.0416666666666667,"(1,1,NA,23)","TRUE","4/27 (0.148148148148148)",1
"MRC2",0.115384615384615,1,0.08,"(1,2,NA,23)","TRUE","6/29 (0.206896551724138)",1
"PREX2",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","4/26 (0.153846153846154)",1
"ROS1",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","7/29 (0.241379310344828)",1
"HDAC4",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","4/27 (0.148148148148148)",1
"GTSE1",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","3/25 (0.12)",1
"DIDO1",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","5/27 (0.185185185185185)",1
"PRX",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","6/28 (0.214285714285714)",1
"WWC1",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","3/25 (0.12)",1
"HELZ2",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","8/30 (0.266666666666667)",1
"MICAL2",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","5/27 (0.185185185185185)",1
"LCA5",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","4/27 (0.148148148148148)",1
"ARMC5",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","4/26 (0.153846153846154)",1
"SMC6",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","4/27 (0.148148148148148)",1
"MAGEA1",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","4/26 (0.153846153846154)",1
"ARHGAP11A",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","7/29 (0.241379310344828)",1
"MUC19",0.12,1,0.0833333333333333,"(1,2,NA,22)","TRUE","8/30 (0.266666666666667)",1
"CD5",0.148148148148148,1,0.115384615384615,"(1,3,NA,23)","TRUE","5/28 (0.178571428571429)",1
"ITGA6",0.153846153846154,1,0.12,"(1,3,NA,22)","TRUE","7/29 (0.241379310344828)",1
"RBL2",0.16,1,0.125,"(1,3,NA,21)","TRUE","5/27 (0.185185185185185)",1
"TTLL5",0.16,1,0.125,"(1,3,NA,21)","TRUE","6/27 (0.222222222222222)",1
"UBR3",0.16,1,0.125,"(1,3,NA,21)","TRUE","5/26 (0.192307692307692)",1
"TRIP12",0.16,1,0.125,"(1,3,NA,21)","TRUE","9/31 (0.290322580645161)",1
"RBM15",0.16,1,0.125,"(1,3,NA,21)","TRUE","3/25 (0.12)",1
"EYS",0.16,1,0.125,"(1,3,NA,21)","TRUE","12/33 (0.363636363636364)",1
"CUX1",0.16,1,0.125,"(1,3,NA,21)","TRUE","8/30 (0.266666666666667)",1
"TTN",0.172413793103448,0,0.842105263157895,"(NA,48,1,9)","TRUE","108/130 (0.830769230769231)",1
"SLC9C1",0.185185185185185,1,0.153846153846154,"(1,4,NA,22)","TRUE","4/28 (0.142857142857143)",1
"CHD2",0.185185185185185,1,0.153846153846154,"(1,4,NA,22)","TRUE","8/30 (0.266666666666667)",1
"LTBP4",0.2,1,0.166666666666667,"(1,4,NA,20)","TRUE","8/28 (0.285714285714286)",1
"WDR17",0.2,1,0.166666666666667,"(1,4,NA,20)","TRUE","7/28 (0.25)",1
"ABCA5",0.2,1,0.166666666666667,"(1,4,NA,20)","TRUE","8/28 (0.285714285714286)",1
"KMT2D",0.2,1,0.166666666666667,"(1,4,NA,20)","TRUE","11/32 (0.34375)",1
"S100A14",0.2,1,0.166666666666667,"(1,4,NA,20)","TRUE","8/28 (0.285714285714286)",1
"ZDBF2",0.2,1,0.166666666666667,"(1,4,NA,20)","TRUE","12/33 (0.363636363636364)",1
"COL12A1",0.214285714285714,1,0.185185185185185,"(1,5,NA,22)","TRUE","10/32 (0.3125)",1
"GRIN3A",0.222222222222222,1,0.192307692307692,"(1,5,NA,21)","TRUE","4/27 (0.148148148148148)",1
"RC3H2",0.275862068965517,1,0.25,"(1,7,NA,21)","TRUE","5/29 (0.172413793103448)",1
"FRAS1",0.28,1,0.25,"(1,6,NA,18)","TRUE","14/33 (0.424242424242424)",1
"DZANK1",0.333333333333333,1,0.307692307692308,"(1,8,NA,18)","TRUE","7/28 (0.25)",1
"HMCN1",0.423076923076923,1,0.4,"(1,10,NA,15)","TRUE","23/39 (0.58974358974359)",1
"MUC4",0.451612903225806,0,0.566666666666667,"(NA,17,1,13)","TRUE","39/54 (0.722222222222222)",1
"LIG3",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","5/30 (0.166666666666667)",1
"MYCBP2",1,0,0.24,"(NA,6,1,19)","TRUE","8/29 (0.275862068965517)",1
"MYH13",1,0,0.230769230769231,"(NA,6,1,20)","TRUE","6/28 (0.214285714285714)",1
"ANO2",1,0,0.230769230769231,"(NA,6,1,20)","TRUE","7/29 (0.241379310344828)",1
"LAMA3",1,0,0.230769230769231,"(NA,6,1,20)","TRUE","11/34 (0.323529411764706)",1
"HUWE1",1,0,0.24,"(NA,6,1,19)","TRUE","11/31 (0.354838709677419)",1
"ZFHX4",1,0,0.24,"(NA,6,1,19)","TRUE","23/43 (0.534883720930233)",1
"HERC1",1,0,0.230769230769231,"(NA,6,1,20)","TRUE","14/37 (0.378378378378378)",1
"MYEF2",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","3/28 (0.107142857142857)",1
"LAPTM4B",1,0,0.230769230769231,"(NA,6,1,20)","TRUE","6/27 (0.222222222222222)",1
"TBC1D30",1,0,0.24,"(NA,6,1,19)","TRUE","8/29 (0.275862068965517)",1
"PRRC2C",1,0,0.24,"(NA,6,1,19)","TRUE","11/32 (0.34375)",1
"ZNF141",1,0,0.230769230769231,"(NA,6,1,20)","TRUE","6/29 (0.206896551724138)",1
"ZFC3H1",1,0,0.222222222222222,"(NA,6,1,21)","TRUE","7/31 (0.225806451612903)",1
"MICAL1",1,0,0.222222222222222,"(NA,6,1,21)","TRUE","9/32 (0.28125)",1
"SLCO2B1",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","3/28 (0.107142857142857)",1
"SECISBP2L",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","4/29 (0.137931034482759)",1
"KIAA1109",1,0,0.28,"(NA,7,1,18)","TRUE","12/32 (0.375)",1
"CELSR2",1,0,0.230769230769231,"(NA,6,1,20)","TRUE","11/33 (0.333333333333333)",1
"ROBO3",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","4/29 (0.137931034482759)",1
"FMN2",1,0,0.230769230769231,"(NA,6,1,20)","TRUE","8/31 (0.258064516129032)",1
"ADCY8",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","12/35 (0.342857142857143)",1
"ZNF496",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","4/27 (0.148148148148148)",1
"CXorf58",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","5/28 (0.178571428571429)",1
"DALRD3",1,0,0.230769230769231,"(NA,6,1,20)","TRUE","4/27 (0.148148148148148)",1
"TMEM151A",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","6/29 (0.206896551724138)",1
"MUC16",1,1,0.666666666666667,"(2,20,NA,10)","TRUE","56/69 (0.811594202898551)",1
"MUC6",1,0,0.153846153846154,"(NA,4,1,22)","TRUE","4/29 (0.137931034482759)",1
"AHNAK2",1,0,0.379310344827586,"(NA,11,1,18)","TRUE","15/34 (0.441176470588235)",1
"KRT79",1,0,0.178571428571429,"(NA,5,1,23)","TRUE","5/29 (0.172413793103448)",1
"KIF24",1,0,0.230769230769231,"(NA,6,1,20)","TRUE","5/28 (0.178571428571429)",1
