"","pvalues","AMPLIFIED_DELETERIOUS/(AMPLIFIED_DELETERIOUS+AMPLIFIED_WT)","NON_AMPLIFIED_DELETERIOUS/(NON_AMPLIFIED_DELETERIOUS+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"CHD1",0.00214991947131845,0.2,0.0349099099099099,"(5,31,20,857)","TRUE","115/1026 (0.112085769980507)",0.822201529222791
"ADCY2",0.00382153563543861,0.115384615384615,0.0101580135440181,"(3,9,23,877)","TRUE","115/1049 (0.109628217349857)",0.822201529222791
"CFTR",0.00399683744797247,0.153846153846154,0.0229885057471264,"(4,20,22,850)","TRUE","139/1049 (0.132507149666349)",0.822201529222791
"MYO18B",0.00455779181053327,0.2,0.0322180916976456,"(4,26,16,781)","TRUE","315/1187 (0.265374894692502)",0.822201529222791
"CUBN",0.00524820029174709,0.192307692307692,0.0416156670746634,"(5,34,21,783)","TRUE","325/1207 (0.269262634631317)",0.822201529222791
"TENM3",0.00558377548613611,0.192307692307692,0.0423216444981862,"(5,35,21,792)","TRUE","258/1151 (0.224152910512598)",0.822201529222791
"URB1",0.0063666047616809,0.192307692307692,0.0438388625592417,"(5,37,21,807)","TRUE","220/1095 (0.200913242009132)",0.822201529222791
"IGF2R",0.00997823548413142,0.166666666666667,0.033603707995365,"(4,29,20,834)","TRUE","164/1066 (0.153846153846154)",1
"FSCB",0.0119408487311501,0.111111111111111,0.015819209039548,"(3,14,24,871)","TRUE","112/1030 (0.10873786407767)",1
"ZP4",0.0148573951600741,0.12,0.0189732142857143,"(3,17,22,879)","TRUE","105/1024 (0.1025390625)",1
"ZDBF2",0.0196762387985229,0.181818181818182,0.0459363957597173,"(4,39,18,810)","TRUE","239/1128 (0.211879432624113)",1
"COL14A1",0.0214771738249482,0.153846153846154,0.0393518518518519,"(4,34,22,830)","TRUE","183/1088 (0.168198529411765)",1
"VPS13C",0.0236618260164668,0.185185185185185,0.0595382746051033,"(5,49,22,774)","TRUE","266/1157 (0.22990492653414)",1
"TTC28",0.0262162873469274,0.0952380952380952,0.010477299185099,"(2,9,19,850)","TRUE","163/1070 (0.152336448598131)",1
"ZMYM6",0.0263305249794128,0.153846153846154,0.0421753607103219,"(4,38,22,863)","TRUE","109/1024 (0.1064453125)",1
"TMEM132C",0.0268157953924656,0.0833333333333333,0.00911161731207289,"(2,8,22,870)","TRUE","142/1056 (0.134469696969697)",1
"ARHGAP5",0.0288785313205314,0.115384615384615,0.024,"(3,21,23,854)","TRUE","130/1054 (0.123339658444023)",1
"UNC5D",0.0290807583191676,0.111111111111111,0.0230680507497117,"(3,20,24,847)","TRUE","124/1037 (0.119575699132112)",1
"DNAH5",0.0315276793857275,0.222222222222222,0.0881226053639847,"(6,69,21,714)","TRUE","504/1379 (0.365482233502538)",1
"MTUS2",0.0405092671992814,0.0833333333333333,0.0117924528301887,"(2,10,22,838)","TRUE","162/1066 (0.151969981238274)",1
"MYO3A",0.0501647210255552,0.107142857142857,0.0280701754385965,"(3,24,25,831)","TRUE","183/1099 (0.166515013648772)",1
"MYO5B",0.0520149761772748,0.0769230769230769,0.0126582278481013,"(2,11,24,858)","TRUE","147/1065 (0.138028169014085)",1
"CNTN1",0.0555873960456461,0.111111111111111,0.0306122448979592,"(3,27,24,855)","TRUE","113/1025 (0.110243902439024)",1
"IQGAP2",0.061148154607413,0.08,0.0146892655367232,"(2,13,23,872)","TRUE","121/1046 (0.115678776290631)",1
"RB1",0.0660030307992957,0.192307692307692,0.0834248079034029,"(5,76,21,835)","TRUE","201/1098 (0.183060109289617)",1
"XPO4",0.0689426876803743,0.12,0.0366259711431743,"(3,33,22,868)","TRUE","110/1034 (0.106382978723404)",1
"CHD7",0.0775579893323953,0.111111111111111,0.0354609929078014,"(3,30,24,816)","TRUE","242/1139 (0.212467076382792)",1
"SULF1",0.0799500424253431,0.0833333333333333,0.0182025028441411,"(2,16,22,863)","TRUE","127/1047 (0.121298949379179)",1
"PPP1R3A",0.0867065980227849,0.0869565217391304,0.0200235571260306,"(2,17,21,832)","TRUE","161/1061 (0.151743638077286)",1
"ZNF208",0.0906874949564035,0.08,0.0188235294117647,"(2,16,23,834)","TRUE","159/1051 (0.15128449096099)",1
"HEPHL1",0.0947090151271447,0.0833333333333333,0.020293122886133,"(2,18,22,869)","TRUE","106/1025 (0.103414634146341)",1
"AOX1",0.0956655829035749,0.08,0.0195177956371986,"(2,17,23,854)","TRUE","119/1029 (0.115646258503401)",1
"ZNF292",0.096596472369021,0,0.123853211009174,"(NA,108,22,764)","TRUE","228/1089 (0.209366391184573)",1
"TET1",0.0979953375384056,0.0833333333333333,0.0207134637514384,"(2,18,22,851)","TRUE","147/1069 (0.137511693171188)",1
"BTAF1",0.0993143031947224,0.0769230769230769,0.0191873589164786,"(2,17,24,869)","TRUE","112/1036 (0.108108108108108)",1
"KMT2B",0.0993353724420702,0,0.105561861520999,"(NA,93,25,788)","TRUE","263/1173 (0.224211423699915)",1
"USP35",0.103536152111676,0.08,0.0205479452054795,"(2,18,23,858)","TRUE","118/1032 (0.114341085271318)",1
"COL17A1",0.105559149818404,0.0740740740740741,0.0191657271702368,"(2,17,25,870)","TRUE","112/1040 (0.107692307692308)",1
"ITGAX",0.109855466539023,0.08,0.0213723284589426,"(2,19,23,870)","TRUE","113/1032 (0.109496124031008)",1
"ARID5B",0.110287982830102,0.0769230769230769,0.0205245153933865,"(2,18,24,859)","TRUE","107/1028 (0.10408560311284)",1
"KRAS",0.120481771110642,0.04,0.00390625,"(1,3,24,765)","TRUE","257/1092 (0.235347985347985)",1
"FLNC",0.125884624190227,0.0869565217391304,0.0254237288135593,"(2,21,21,805)","TRUE","284/1184 (0.239864864864865)",1
"DCC",0.127610279346991,0.0869565217391304,0.0257009345794393,"(2,22,21,834)","TRUE","187/1088 (0.171875)",1
