"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"TP53",7.61825184596169e-09,0.548387096774194,0.210699890069623,"(34,1150,28,4308)","TRUE","4272/8608 (0.496282527881041)",1.63792414688176e-06
"GRIN2A",0.000505101215986834,0.169230769230769,0.0513343217197924,"(11,277,54,5119)","TRUE","627/5800 (0.108103448275862)",0.0542983807185847
"APC",0.0022904173149759,0,0.101652298850575,"(NA,566,61,5002)","TRUE","1276/6339 (0.201293579428932)",0.164146574239939
"FAM135B",0.00425886082604405,0.15625,0.0586175115207373,"(10,318,54,5107)","TRUE","892/6053 (0.147364943003469)",0.228913769399868
"GPR112",0.00866459217814134,0,0.0826236637071933,"(NA,456,61,5063)","TRUE","912/6036 (0.151093439363817)",0.372577463660078
"LRP1B",0.0114016794343664,0.271428571428571,0.153073593073593,"(19,884,51,4891)","TRUE","2265/7207 (0.314277785486333)",0.408560179731464
"MUC16",0.0152011265317412,0.432098765432099,0.30418134476949,"(35,1986,46,4543)","TRUE","4793/9382 (0.510871882327862)",0.466891743474909
"ABCA13",0.0183136733579432,0.0163934426229508,0.103903047585101,"(1,583,60,5028)","TRUE","1221/6309 (0.193533048026629)",0.487706366075265
"ZNF831",0.0207192903371733,0.109375,0.0429128738621586,"(7,231,57,5152)","TRUE","615/5824 (0.105597527472527)",0.487706366075265
"PCDH11X",0.026216626722851,0.111111111111111,0.0458511230740672,"(7,247,56,5140)","TRUE","621/5817 (0.106756059824652)",0.487706366075265
"PEG3",0.0269433824097953,0.129032258064516,0.0577312005883434,"(8,314,54,5125)","TRUE","745/5924 (0.12575962187711)",0.487706366075265
"PLEC",0.0327368081007704,0,0.0667154085176385,"(NA,365,61,5106)","TRUE","802/5969 (0.13436086446641)",0.487706366075265
"LRRK2",0.0331371674570716,0,0.0673480562146377,"(NA,369,61,5110)","TRUE","755/5926 (0.127404657441782)",0.487706366075265
