"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","contingency table frequencies (A,B,C,D)","tp_flags","Mutational_Freq","adjusted_pvalue"
"TP53",6.85360181719248e-202,0.526566053338846,0.249308330771595,"(2547,1622,2290,4884)","TRUE","4272/11447 (0.373198217873679)",2.60436869053314e-200
"CSMD3",6.42917262636891e-23,0.232950039651071,0.160594578839988,"(1175,1102,3869,5760)","TRUE","2328/11957 (0.194697666638789)",1.22154279901009e-21
"PTEN",3.09009387552382e-18,0.075275657336726,0.125379939209726,"(355,825,4361,5755)","TRUE","1202/11318 (0.106202509277257)",3.91411890899684e-17
"LRP1B",5.85215071070195e-09,0.210809732748305,0.168505079825835,"(1057,1161,3957,5729)","TRUE","2265/11952 (0.189508032128514)",5.55954317516685e-08
"ZFHX4",1.72753336235334e-08,0.160681305150831,0.123708252209076,"(783,826,4090,5851)","TRUE","1651/11592 (0.142425810904072)",1.31292535538854e-07
"SPTA1",4.53668631624383e-06,0.128403854210306,0.100579975579976,"(613,659,4161,5893)","TRUE","1306/11360 (0.114964788732394)",2.87323466695442e-05
"USH2A",8.2913483308182e-06,0.172998366013072,0.142540292769481,"(847,964,4049,5799)","TRUE","1849/11698 (0.158061207043939)",4.50101766530131e-05
"FLG",2.6019065387939e-05,0.168105219893136,0.1395244504262,"(818,933,4048,5754)","TRUE","1787/11589 (0.154197946328415)",0.000108574495827226
"APC",2.66841062682983e-05,0.121596341716899,0.0968280467445743,"(585,638,4226,5951)","TRUE","1276/11453 (0.11141185715533)",0.000108574495827226
"MUC16",2.85722357440069e-05,0.362543554006969,0.327978750316216,"(2081,2593,3659,5313)","TRUE","4793/13766 (0.348176667150952)",0.000108574495827226
"RYR2",0.00039151969579446,0.19754081838339,0.171861345761724,"(980,1180,3981,5686)","TRUE","2206/11875 (0.185768421052632)",0.00135252258547177
"TTN",0.00200432297204552,0.571529047686032,0.547876374668184,"(4063,5779,3046,4769)","TRUE","10060/17878 (0.562702763172614)",0.00634702274481082
"NEB",0.00539920037052411,0.120675453047776,0.138274498315512,"(586,944,4270,5883)","TRUE","1556/11709 (0.132889230506448)",0.0157822780061474
"SYNE1",0.00736371076103448,0.192509061619009,0.173171436831454,"(956,1198,4010,5720)","TRUE","2203/11933 (0.184614095365792)",0.0199872149228079
"CSMD1",0.00917385196295704,0.137068430845565,0.120467485765658,"(663,804,4174,5870)","TRUE","1508/11553 (0.130528866960963)",0.0232404249728245
"PCLO",0.0109432381023131,0.1671388101983,0.149675898644667,"(826,1016,4116,5772)","TRUE","1889/11777 (0.160397384732954)",0.0259901904929935
"MUC17",0.0165549347158354,0.124221022019111,0.109669633428873,"(598,727,4216,5902)","TRUE","1361/11479 (0.118564334872376)",0.037005148188338
"DNAH8",0.0578942700460237,0.108187134502924,0.119768477292965,"(518,807,4270,5931)","TRUE","1350/11551 (0.11687299800883)",0.122221236763828
"PKHD1L1",0.0873495270830609,0.11429767636592,0.104119511090991,"(546,690,4231,5937)","TRUE","1263/11431 (0.11048902108302)",0.174699054166122
"APOB",0.0935352348020618,0.102919554715396,0.112983300737175,"(490,751,4271,5896)","TRUE","1268/11435 (0.110887625710538)",0.177716946123917
"DNAH11",0.105229691190049,0.0982086406743941,0.107738542449286,"(466,717,4279,5938)","TRUE","1211/11428 (0.10596779838992)",0.190415631677231
"DNAH5",0.120205600845971,0.159732088491983,0.149240654205607,"(787,1022,4140,5826)","TRUE","1851/11818 (0.156625486545947)",0.207627856006677
"DNAH7",0.126759102404618,0.102553369610716,0.111676646706587,"(490,746,4288,5934)","TRUE","1267/11489 (0.110279397684742)",0.209428082233716
"GPR98",0.146275768909156,0.115191986644407,0.124160573048799,"(552,832,4240,5869)","TRUE","1430/11540 (0.123916811091854)",0.231603300772831
"AHNAK2",0.187056371847664,0.106365159128978,0.0986193293885602,"(508,650,4268,5941)","TRUE","1185/11394 (0.104002106371775)",0.284325685208449
"LRP2",0.236999421216925,0.105726872246696,0.112794360281986,"(504,752,4263,5915)","TRUE","1291/11469 (0.112564303775395)",0.346383769470891
"DMD",0.303523945104081,0.106828655215752,0.100814971325083,"(510,668,4264,5958)","TRUE","1192/11414 (0.104433152269143)",0.427181848665003
"HMCN1",0.401967460249595,0.119212235491305,0.124477611940299,"(569,834,4204,5866)","TRUE","1427/11497 (0.124119335478821)",0.545527267481593
"PCDH15",0.483058731174145,0.111251314405889,0.107062189429303,"(529,711,4226,5930)","TRUE","1271/11428 (0.111218060903045)",0.632973509814397
"FAT4",0.623848119884389,0.136157024793388,0.139521221912175,"(659,950,4181,5859)","TRUE","1640/11680 (0.14041095890411)",0.761375236015945
"DNAH9",0.626165563126365,0.107112970711297,0.110073784068664,"(512,731,4268,5910)","TRUE","1269/11448 (0.110849056603774)",0.761375236015945
"XIRP2",0.64825348522534,0.126941395734106,0.124084317536254,"(613,830,4216,5859)","TRUE","1485/11560 (0.128460207612457)",0.761375236015945
"RYR3",0.661194283908584,0.120316402997502,0.117638266068759,"(578,787,4226,5903)","TRUE","1389/11518 (0.120593853099496)",0.761375236015945
"FAT3",0.709258833738387,0.12533889468196,0.123024157470922,"(601,825,4194,5881)","TRUE","1463/11538 (0.126798405269544)",0.792701049472315
"ABCA13",0.876011641825267,0.103694374475231,0.102772754671489,"(494,682,4270,5954)","TRUE","1221/11445 (0.106684141546527)",0.913271523080605
"RYR1",0.878722320068043,0.10949673615498,0.108524788391778,"(520,718,4229,5898)","TRUE","1257/11384 (0.110418130709768)",0.913271523080605
"OBSCN",0.890527400701494,0.135269709543568,0.136194861131739,"(652,917,4168,5816)","TRUE","1610/11594 (0.138864930136277)",0.913271523080605
"PIK3CA",0.913271523080605,0.144522144522145,0.143736534318252,"(682,934,4037,5564)","TRUE","1653/11254 (0.146881108939044)",0.913271523080605
