Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000212,CAL120,Breast Cancer,Metastasis
ACH-001392,SUM185PE,Breast Cancer,Metastasis
ACH-001819,MFM223,Breast Cancer,Metastasis
ACH-000876,MDAMB415,Breast Cancer,Metastasis
ACH-000699,HCC1395,Breast Cancer,Primary
ACH-000111,HCC1187,Breast Cancer,Primary
ACH-001388,SUM102PT,Breast Cancer,Primary
ACH-001393,SUM190PT,Breast Cancer,Primary
ACH-001396,SUM52PE,Breast Cancer,Metastasis
ACH-000759,MDAMB175VII,Breast Cancer,Metastasis
ACH-000668,HCC70,Breast Cancer,Primary
ACH-000721,HMC18,Breast Cancer,Metastasis
ACH-001065,EVSAT,Breast Cancer,Metastasis
ACH-000277,HCC1419,Breast Cancer,Primary
ACH-000352,HCC1428,Breast Cancer,Metastasis
ACH-000856,CAL51,Breast Cancer,Metastasis
ACH-000642,HMEL,Immortalized,
ACH-000857,CAL851,Breast Cancer,Primary
ACH-000019,MCF7,Breast Cancer,Metastasis
ACH-001391,SUM159PT,Breast Cancer,Primary
ACH-000288,BT549,Breast Cancer,Primary
ACH-000223,HCC1937,Breast Cancer,Primary
ACH-000536,BT20,Breast Cancer,Primary
ACH-000097,ZR751,Breast Cancer,Metastasis
ACH-000568,UACC812,Breast Cancer,Primary
ACH-000755,HCC2218,Breast Cancer,Primary
ACH-000828,ZR7530,Breast Cancer,Metastasis
ACH-001514,HCC1008,Breast Cancer,Metastasis
ACH-000691,HCC2157,Breast Cancer,Primary
ACH-000849,MDAMB468,Breast Cancer,Metastasis
ACH-000148,HS578T,Breast Cancer,Primary
ACH-000374,HCC1143,Breast Cancer,Primary
ACH-000624,HCC1806,Breast Cancer,Primary
ACH-000818,BT483,Breast Cancer,Primary
ACH-000044,MDAMB134VI,Breast Cancer,Metastasis
ACH-001397,SUM225CWN,Breast Cancer,Metastasis
ACH-000017,SKBR3,Breast Cancer,Metastasis
ACH-000859,HCC1954,Breast Cancer,Primary
ACH-000621,MDAMB157,Breast Cancer,Metastasis
ACH-001249,YMB1,Breast Cancer,Metastasis
ACH-000927,BT474,Breast Cancer,Primary
ACH-000276,HCC38,Breast Cancer,Primary
ACH-000117,EFM192A,Breast Cancer,Metastasis
ACH-001390,SUM149PT,Breast Cancer,Primary
ACH-000330,EFM19,Breast Cancer,Metastasis
ACH-000258,DU4475,Breast Cancer,Metastasis
ACH-000196,HCC1599,Breast Cancer,Primary
ACH-001394,SUM229PE,Breast Cancer,Metastasis
ACH-000147,T47D,Breast Cancer,Metastasis
ACH-000248,AU565,Breast Cancer,Metastasis
ACH-000573,MDAMB436,Breast Cancer,Metastasis
ACH-000349,HCC1500,Breast Cancer,Primary
ACH-001358,MDAMB330,Breast Cancer,Metastasis
ACH-001357,MCF10A,Immortalized,Primary
ACH-000910,MDAMB453,Breast Cancer,Metastasis
ACH-000930,HCC1569,Breast Cancer,Primary
ACH-001395,SUM44PE,Breast Cancer,Metastasis
ACH-001389,SUM1315MO2,Breast Cancer,Metastasis
ACH-000934,MDAMB361,Breast Cancer,Metastasis
ACH-000028,KPL1,Breast Cancer,Metastasis
ACH-000783,CAMA1,Breast Cancer,Metastasis
ACH-000643,HDQP1,Breast Cancer,Primary
ACH-001820,COLO824,Breast Cancer,Metastasis
ACH-000554,UACC893,Breast Cancer,Primary
ACH-000902,CAL148,Breast Cancer,Metastasis
ACH-000711,JIMT1,Breast Cancer,Metastasis
ACH-000768,MDAMB231,Breast Cancer,Metastasis
ACH-000725,HCC202,Breast Cancer,Primary
