,pvalues,AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT),NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT),tp_flags,Mutational_Freq,adjusted_pvalue
MYO18B,0.00033175,0.56,0.223320158,TRUE,0.265374895,0.04744019
PRKDC,0.006290755,0.461538462,0.213935231,TRUE,0.233018057,0.306940128
KMT2B,0.006439303,0,0.246197719,TRUE,0.224211424,0.306940128
DNAH3,0.011134462,0.481481481,0.245155039,TRUE,0.281224819,0.349906752
LRP2,0.015336964,0.538461538,0.297373358,TRUE,0.33129771,0.349906752
RP1,0.018130482,0.428571429,0.216322517,TRUE,0.227782571,0.349906752
AHNAK,0.022546168,0.517241379,0.300744879,TRUE,0.31501548,0.349906752
ZDBF2,0.024588838,0.391304348,0.181086519,TRUE,0.211879433,0.349906752
VPS13D,0.025070553,0.409090909,0.193137255,TRUE,0.206776716,0.349906752
APC,0.027164136,0.481481481,0.272983114,TRUE,0.282764098,0.349906752
MUC2,0.029641136,0.36,0.174395161,TRUE,0.206713781,0.349906752
UBR4,0.030098348,0.44,0.236415634,TRUE,0.254139073,0.349906752
PLXNA4,0.031809705,0.391304348,0.196196196,TRUE,0.212444444,0.349906752
UNC13C,0.03465004,0.44,0.245392823,TRUE,0.250212766,0.353925407
TNR,0.040405534,0.380952381,0.182098765,TRUE,0.205667276,0.384400021
DNAH2,0.043009793,0.428571429,0.244487057,TRUE,0.253344482,0.384400021
RYR1,0.04867532,0.551724138,0.359361136,TRUE,0.359329446,0.399487028
ZFHX3,0.05028508,0.1,0.304900181,TRUE,0.293657009,0.399487028
MUC17,0.057942428,0.458333333,0.262116716,TRUE,0.33253012,0.414929507
VCAN,0.061301556,0.423076923,0.241682975,TRUE,0.253001715,0.414929507
RP1L1,0.064089817,0.363636364,0.198801199,TRUE,0.249786142,0.414929507
CUBN,0.06516812,0.392857143,0.226915521,TRUE,0.269262635,0.414929507
MDN1,0.066736914,0.44,0.265906933,TRUE,0.287550201,0.414929507
FLG2,0.073075308,0.304347826,0.152820513,TRUE,0.200539568,0.435407043
FLNC,0.076817288,0.375,0.214147287,TRUE,0.239864865,0.439394888
ZFHX4,0.087292406,0.586206897,0.420253165,TRUE,0.428571429,0.480108234
