,pvalues,AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT),NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT),Mutational_frequency_filter_pass,Mutational_Freq,adjusted_pvalue
MAGEA2,0.03968254,1,0.153846154,TRUE,0.214285714,1
PLXNA1,0.04,1,0,TRUE,0.2,1
PRDM2,0.08,1,0.041666667,TRUE,0.206896552,1
IQSEC2,0.08,1,0.041666667,TRUE,0.206896552,1
MRC2,0.115384615,1,0.08,TRUE,0.206896552,1
ROS1,0.12,1,0.083333333,TRUE,0.24137931,1
PRX,0.12,1,0.083333333,TRUE,0.214285714,1
HELZ2,0.12,1,0.083333333,TRUE,0.266666667,1
ARHGAP11A,0.12,1,0.083333333,TRUE,0.24137931,1
MUC19,0.12,1,0.083333333,TRUE,0.266666667,1
ITGA6,0.153846154,1,0.12,TRUE,0.24137931,1
TTLL5,0.16,1,0.125,TRUE,0.222222222,1
TRIP12,0.16,1,0.125,TRUE,0.290322581,1
EYS,0.16,1,0.125,TRUE,0.363636364,1
CUX1,0.16,1,0.125,TRUE,0.266666667,1
TTN,0.172413793,0,0.842105263,TRUE,0.830769231,1
CHD2,0.185185185,1,0.153846154,TRUE,0.266666667,1
LTBP4,0.2,1,0.166666667,TRUE,0.285714286,1
WDR17,0.2,1,0.166666667,TRUE,0.25,1
ABCA5,0.2,1,0.166666667,TRUE,0.285714286,1
KMT2D,0.2,1,0.166666667,TRUE,0.34375,1
S100A14,0.2,1,0.166666667,TRUE,0.285714286,1
ZDBF2,0.2,1,0.166666667,TRUE,0.363636364,1
COL12A1,0.214285714,1,0.185185185,TRUE,0.3125,1
FRAS1,0.28,1,0.25,TRUE,0.424242424,1
DZANK1,0.333333333,1,0.307692308,TRUE,0.25,1
HMCN1,0.423076923,1,0.4,TRUE,0.58974359,1
MUC4,0.451612903,0,0.566666667,TRUE,0.722222222,1
MYCBP2,1,0,0.24,TRUE,0.275862069,1
MYH13,1,0,0.230769231,TRUE,0.214285714,1
ANO2,1,0,0.230769231,TRUE,0.24137931,1
LAMA3,1,0,0.230769231,TRUE,0.323529412,1
HUWE1,1,0,0.24,TRUE,0.35483871,1
ZFHX4,1,0,0.24,TRUE,0.534883721,1
HERC1,1,0,0.230769231,TRUE,0.378378378,1
LAPTM4B,1,0,0.230769231,TRUE,0.222222222,1
TBC1D30,1,0,0.24,TRUE,0.275862069,1
PRRC2C,1,0,0.24,TRUE,0.34375,1
ZNF141,1,0,0.230769231,TRUE,0.206896552,1
ZFC3H1,1,0,0.222222222,TRUE,0.225806452,1
MICAL1,1,0,0.222222222,TRUE,0.28125,1
