"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","tp_flags","Mutational_Freq"
"NOL6",3.97045601420419e-09,0.444444444444444,0.0134048257372654,"FALSE",0.0146788990825688
"PRUNE2",2.00490688047791e-05,0.428571428571429,0.0375335120643432,"FALSE",0.041970802919708
"PPP1R9A",0.000226697778153616,0.25,0.00537634408602151,"FALSE",0.0156971375807941
"RTEL1",0.000291270797877945,0.230769230769231,0.00537634408602151,"FALSE",0.00829493087557604
"NOC3L",0.000441941177234715,0.25,0.00804289544235925,"FALSE",0.00738007380073801
"C16orf46",0.00089751958224543,0.166666666666667,0,"FALSE",0.00277008310249307
"C20orf112",0.00089751958224543,0.166666666666667,0,"FALSE",0.00461680517082179
"CTRL",0.00089751958224543,0.166666666666667,0,"FALSE",0.00184672206832872
"TP53",0.00209008714860799,0.545454545454545,0.136363636363636,"TRUE",0.335144927536232
"ANGEL1",0.00222002617531953,0.181818181818182,0.00268817204301075,"FALSE",0.00462107208872458
"DQX1",0.00222002617531953,0.181818181818182,0.00268817204301075,"FALSE",0.00462107208872458
"NLGN1",0.00222002617531953,0.181818181818182,0.00268817204301075,"FALSE",0.00923361034164358
"CYP2A7",0.00264556819269203,0.166666666666667,0.00268817204301075,"FALSE",0.00738688827331487
"DGKA",0.00264556819269203,0.166666666666667,0.00268817204301075,"FALSE",0.00369344413665743
"ERGIC3",0.00264556819269203,0.166666666666667,0.00268817204301075,"FALSE",0.00369344413665743
"FABP9",0.00264556819269203,0.166666666666667,0.00268817204301075,"FALSE",0.00277008310249307
"IL18RAP",0.00264556819269203,0.166666666666667,0.00268817204301075,"FALSE",0.00554016620498615
"PLCL2",0.00264556819269203,0.166666666666667,0.00268817204301075,"FALSE",0.0175115207373272
"SERPINA9",0.00264556819269203,0.166666666666667,0.00268817204301075,"FALSE",0.00554016620498615
"SDK1",0.00316441419051936,0.230769230769231,0.0188172043010753,"FALSE",0.0221198156682028
"BTD",0.00437013321046479,0.181818181818182,0.00537634408602151,"FALSE",0.00646950092421442
"SLC10A2",0.00437013321046479,0.181818181818182,0.00537634408602151,"FALSE",0.00462107208872458
"ABI1",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00461680517082179
"ARFGEF2",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.011070110701107
"CPM",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00554016620498615
"ELK1",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00646352723915051
"FOXP2",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00831024930747922
"GPM6B",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00738688827331487
"LMOD3",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00461680517082179
"OBFC1",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00554016620498615
"QKI",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00461680517082179
"RBL1",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00923361034164358
"ST6GAL2",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00554016620498615
"UGT1A10",0.00519882029692702,0.166666666666667,0.00537634408602151,"FALSE",0.00922509225092251
"GPHN",0.00716886532305491,0.181818181818182,0.00806451612903226,"FALSE",0.00831024930747922
"RECQL5",0.00716886532305491,0.181818181818182,0.00806451612903226,"FALSE",0.0129151291512915
"CA11",0.00847051996295974,0.166666666666667,0.00804289544235925,"FALSE",0.0101476014760148
"MAGEB4",0.00847051996295974,0.166666666666667,0.00804289544235925,"FALSE",0.00738007380073801
"CCNH",0.00851356864277595,0.166666666666667,0.00806451612903226,"FALSE",0.00554016620498615
"MAPKBP1",0.00851356864277595,0.166666666666667,0.00806451612903226,"FALSE",0.0110599078341014
"MCM4",0.00851356864277595,0.166666666666667,0.00806451612903226,"FALSE",0.00738007380073801
"SSFA2",0.00851356864277595,0.166666666666667,0.00806451612903226,"FALSE",0.0110803324099723
"CSMD3",0.00944351583771004,0.272727272727273,0.0373333333333333,"FALSE",0.0477064220183486
"C10orf12",0.0105839848652036,0.181818181818182,0.010752688172043,"FALSE",0.014760147601476
"FLNB",0.0105839848652036,0.181818181818182,0.010752688172043,"FALSE",0.0221606648199446
"SEMA4F",0.0125476786019391,0.166666666666667,0.010752688172043,"FALSE",0.0119926199261993
"LARP7",0.0171748551161376,0.166666666666667,0.0134048257372654,"FALSE",0.011070110701107
"PM20D1",0.0171748551161376,0.166666666666667,0.0134048257372654,"FALSE",0.00830258302583026
"ALDH1A1",0.0172605435701042,0.166666666666667,0.0134408602150538,"FALSE",0.00738688827331487
"BTN3A1",0.0172605435701042,0.166666666666667,0.0134408602150538,"FALSE",0.0120036934441367
"KL",0.0172605435701042,0.166666666666667,0.0134408602150538,"FALSE",0.00831024930747922
"MBD6",0.0172605435701042,0.166666666666667,0.0134408602150538,"FALSE",0.0101569713758079
"TET1",0.018672063243675,0.181818181818182,0.0159151193633952,"FALSE",0.0202391904323827
"COBLL1",0.0222818231361618,0.166666666666667,0.016,"FALSE",0.0110497237569061
"XKR4",0.0225018206710637,0.166666666666667,0.0160857908847185,"FALSE",0.0138376383763838
"SLC12A2",0.0226130414053016,0.166666666666667,0.0161290322580645,"FALSE",0.0101569713758079
"SMAD4",0.0226130414053016,0.166666666666667,0.0161290322580645,"FALSE",0.0110803324099723
"CHD6",0.0241016540251209,0.181818181818182,0.0187667560321716,"FALSE",0.0249307479224377
"ARID1B",0.0242207430347064,0.181818181818182,0.0188172043010753,"FALSE",0.0203327171903882
"CACNA1A",0.0285674918845788,0.166666666666667,0.0188172043010753,"FALSE",0.0267527675276753
"ACSF2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00646950092421442
"AMIGO2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"ANKAR",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00924214417744917
"ARSA",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"ATP6V0D2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"BARHL1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.000924214417744917
"BARHL2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"BCL2L2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.000924214417744917
"C9orf64",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"CALHM3",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"CASKIN1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"CBS",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"CDS2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00554016620498615
"CEACAM6",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"CHEK1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"CLNS1A",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"CRLF2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.000924214417744917
"CYP27B1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00645756457564576
"DECR2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"DHRS4",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"DOK2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"EPHB2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00924214417744917
"FAM180A",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"FAM89A",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"FPR1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"FXYD3",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"GIPC3",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"GPR132",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"GPR151",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"GTDC1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.0055452865064695
"HDGFRP3",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"HGSNAT",0.0287206266318538,0.0909090909090909,0,"FALSE",0.0055452865064695
"HRASLS",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"IDH3A",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"KIAA1958",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277008310249307
"KRTAP9-9",0.0287206266318538,0.0909090909090909,0,"FALSE",0.000924214417744917
"LCN8",0.0287206266318538,0.0909090909090909,0,"FALSE",0.000924214417744917
"LMAN2L",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00461680517082179
"LMX1B",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"LSM1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"LSM14B",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"MAP7D2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.0055452865064695
"MARK4",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"MIB2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"MPV17L",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"MSI2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00462107208872458
"NAMPT",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00829493087557604
"NCR1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"OAS1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"OMG",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"PANX1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369344413665743
"PCDH20",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"PCDHB10",0.0287206266318538,0.0909090909090909,0,"FALSE",0.0055452865064695
"PCDHGA4",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00646950092421442
"PDLIM7",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00462107208872458
"PFKL",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"PLA1A",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00554016620498615
"PRAMEF12",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"PRKCQ",0.0287206266318538,0.0909090909090909,0,"FALSE",0.0101569713758079
"PRLHR",0.0287206266318538,0.0909090909090909,0,"FALSE",0.000924214417744917
"PSTPIP1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00462107208872458
"QTRTD1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"RAB43",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"RRBP1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00738688827331487
"SCUBE1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00646950092421442
"SERTAD3",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00554016620498615
"SHISA2",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"SIRT7",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369344413665743
"SLC10A1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00554016620498615
"SPATA5L1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"STK25",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"SYNGR1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"TAAR5",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00462107208872458
"TMEM115",0.0287206266318538,0.0909090909090909,0,"FALSE",0.000924214417744917
"TMEM174",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00184842883548983
"TMPRSS11D",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00462107208872458
"TRIM68",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00369685767097967
"ULBP1",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00461680517082179
"ZBBX",0.0287206266318538,0.0909090909090909,0,"FALSE",0.0120147874306839
"ZBTB8B",0.0287206266318538,0.0909090909090909,0,"FALSE",0.0055452865064695
"ZNF277",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00646352723915051
"ZNF460",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00738688827331487
"ZNF572",0.0287206266318538,0.0909090909090909,0,"FALSE",0.00277264325323475
"CCDC144A",0.0296541790970469,0.181818181818182,0.0214477211796247,"FALSE",0.0249077490774908
"RIMS2",0.0347501275161303,0.166666666666667,0.0213903743315508,"FALSE",0.0239190432382705
"MYH10",0.0417370206488278,0.166666666666667,0.0240641711229947,"FALSE",0.0220994475138122
"ADAMTSL3",0.0421384911903746,0.166666666666667,0.0241935483870968,"FALSE",0.0248847926267281
"HIVEP2",0.0421384911903746,0.166666666666667,0.0241935483870968,"FALSE",0.0202391904323827
"KDM6A",0.0421384911903747,0.181818181818182,0.0268096514745308,"FALSE",0.022140221402214
"FCGBP",0.0490187815109349,0.181818181818182,0.0294906166219839,"FALSE",0.0322283609576427
"MED12",0.0562916131031533,0.181818181818182,0.032171581769437,"FALSE",0.0304147465437788
"ABCD3",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00830258302583026
"ABL1",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00922509225092251
"ACLY",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.0110599078341014
"ACSBG1",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00739371534195933
"ADAM9",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00462107208872458
"ADD1",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00462107208872458
"AK3",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00277264325323475
"APOL3",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00369685767097967
"AREG",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00184842883548983
"ARIH1",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00277264325323475
"ASB3",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00277264325323475
"ASNS",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.0055452865064695
"ATP6V1C2",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00554016620498615
"BANK1",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00739371534195933
"BRSK2",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00462107208872458
"BTBD6",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00277264325323475
"C1orf50",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00277264325323475
"C2orf42",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00554016620498615
"C6orf222",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.0055452865064695
"CACNA2D4",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00831792975970425
"CASP10",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00461680517082179
"CBX4",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00462107208872458
"CCDC74A",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00369685767097967
"CCND2",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.0055452865064695
"CD38",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00646950092421442
"CD93",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00646950092421442
"CXorf40A",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00277264325323475
"DAG1",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00461680517082179
"DDX59",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00369685767097967
"DFNB31",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00277264325323475
"ELAVL1",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00831792975970425
"ELL3",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.0055452865064695
"EPHA1",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.0055452865064695
"EPHX3",0.0566894043989994,0.0909090909090909,0.00268817204301075,"FALSE",0.00462107208872458
