"","pvalues","AMPLIFIED_DELETERIOUS/(AMPLIFIED_DELETERIOUS+AMPLIFIED_WT)","NON_AMPLIFIED_DELETERIOUS/(NON_AMPLIFIED_DELETERIOUS+NON_AMPLIFIED_WT)","tp_flags"
"UMOD",8.97872646477281e-05,0,0,"FALSE"
"LCN6",0.000373814614183969,0,0.00214132762312634,"FALSE"
"RASL12",0.000418845397550416,0.0526315789473684,0.00430570505920344,"FALSE"
"MRPL33",0.00045430846679546,0,0.0087527352297593,"FALSE"
"CD93",0.000725641236645868,0,0,"FALSE"
"XPR1",0.00122922558573733,0,0,"FALSE"
"LPIN1",0.00124183249094007,0,0.0249433106575964,"FALSE"
"ZNF408",0.00131929419149486,0,0.00431965442764579,"FALSE"
"CFTR",0.00144425325180344,0,0.00864864864864865,"FALSE"
"MYO18B",0.00145908799211983,0,0,"FALSE"
"ADCY2",0.00175279278205898,0,0,"FALSE"
"URB1",0.00186443264693929,0,0.00107411385606874,"FALSE"
"ZNF493",0.00195495486815374,0,0,"FALSE"
"ARHGAP4",0.00233727109886876,0,0.00870511425462459,"FALSE"
"ZNF140",0.00245007659105827,0,0.00883002207505519,"FALSE"
"BTBD8",0.00272102293232777,0.2,0.0228310502283105,"TRUE"
"ZDHHC13",0.00309280425253459,0,0,"FALSE"
"PPIL4",0.00370496247967324,0,0.0195652173913043,"FALSE"
"LHCGR",0.00403864118266984,0.05,0.00760869565217391,"FALSE"
"PRCP",0.00409078070149862,0,0.00215285252960172,"FALSE"
"POLDIP3",0.00410780575936862,0,0,"FALSE"
"SLC25A51",0.00441966197734235,0,0,"FALSE"
"RNF125",0.00446533447668825,0.0952380952380952,0.00866738894907909,"FALSE"
"RFX6",0.00457865292073267,0,0.00426439232409382,"FALSE"
"DPY19L3",0.00499901892652227,0,0,"FALSE"
"FSCB",0.00582200575280122,0,0.013215859030837,"FALSE"
"RASAL3",0.00592354573947102,0,0,"FALSE"
"CHD1",0.00629012216690013,0,0.0163551401869159,"FALSE"
"CCDC7",0.00663599011541978,0,0,"FALSE"
"HIST1H1E",0.0069168738251098,0,0.00429645542427497,"FALSE"
"POU2AF1",0.00744108662882461,0,0,"FALSE"
"MEF2C",0.00772124701755,0,0.00325379609544469,"FALSE"
"CYP2C9",0.00783448428072092,0,0,"FALSE"
"CASK",0.00783448428072092,0,0.00555555555555556,"FALSE"
"HIF1A",0.00919391405536419,0,0.00556173526140156,"FALSE"
"LSAMP",0.00922286259058063,0,0.00429645542427497,"FALSE"
"ZDBF2",0.00951416961542442,0,0.00106951871657754,"FALSE"
"COL14A1",0.0100331045751375,0,0,"FALSE"
"UGT2A3",0.0101496331756236,0.0526315789473684,0.00217627856365615,"FALSE"
"KLHL32",0.0106474473681719,0,0.0021505376344086,"FALSE"
"PRPF38A",0.0108690326092644,0,0,"FALSE"
"BRMS1L",0.0109130648340584,0,0.00108108108108108,"FALSE"
"DDX6",0.0110019352514128,0,0,"FALSE"
"MYB",0.0110019352514128,0,0.00439077936333699,"FALSE"
"SLCO3A1",0.0112751537837379,0,0.00436681222707424,"FALSE"
"DNAH5",0.0115714252548462,0,0.00106837606837607,"FALSE"
"TENM3",0.0116654037745717,0,0,"FALSE"
"ZNF37A",0.0122319981586163,0,0.0010752688172043,"FALSE"
"HLTF",0.0123323011368023,0.0555555555555556,0.0243619489559165,"FALSE"
"MSL3",0.0125108221468045,0,0,"FALSE"
"RHD",0.0127353896874291,0,0,"FALSE"
"PLRG1",0.0128133710196835,0,0.00322927879440258,"FALSE"
"LRIG3",0.0131055117117504,0,0,"FALSE"
"MTHFD1",0.0131551471450825,0,0,"FALSE"
"KLHL5",0.0131869195723551,0,0.00325027085590466,"FALSE"
"CUBN",0.0132646285583712,0,0.0161812297734628,"FALSE"
"TTC28",0.0136584243037493,0,0,"FALSE"
"ARHGAP5",0.0140690758941678,0,0,"FALSE"
"KLHL8",0.0140800672292831,0.0526315789473684,0.025,"FALSE"
"C9",0.014428794760241,0,0,"FALSE"
"USP25",0.0145179990698135,0,0,"FALSE"
"UNC5D",0.0146309788203505,0,0,"FALSE"
"TMEM132C",0.0154056203503315,0,0.0043010752688172,"FALSE"
"BTN3A1",0.0157382188936293,0,0.0282167042889391,"FALSE"
"BCHE",0.0164171695245792,0.05,0,"FALSE"
"UBASH3A",0.0176960967507866,0,0,"FALSE"
"ZHX2",0.0181727810595985,0,0,"FALSE"
"DSG3",0.0185141523243518,0,0.0109051254089422,"FALSE"
"LAP3",0.0190588827709044,0,0.0167973124300112,"FALSE"
"VN1R2",0.0191285866099894,0,0,"FALSE"
"SLFN13",0.0199012623495083,0,0.00106951871657754,"FALSE"
"ARL1",0.019916142557652,0,0,"FALSE"
"RBM19",0.0201071633595367,0,0.00327153762268266,"FALSE"
"IFNA13",0.0208333333333333,0,0.00790960451977401,"FALSE"
"HIST1H4A",0.0208333333333333,0,0.00868621064060804,"FALSE"
"IL18BP",0.0208768267223382,0,0.00214592274678112,"FALSE"
"RNASE4",0.0208986415882968,0,0,"FALSE"
"ARX",0.0209205020920502,0,0.00431499460625674,"FALSE"
"EBP",0.0209205020920502,0,0.00106496272630458,"FALSE"
"GNAT1",0.0209643605870021,0,0.00331491712707182,"FALSE"
"NFKBIE",0.0210526315789474,0,0.0021551724137931,"FALSE"
"DRAXIN",0.0210526315789474,0,0,"FALSE"
"BSX",0.0210748155953635,0,0.0144284128745838,"FALSE"
"ANKRD60",0.0211193241816262,0.05,0.00861141011840689,"FALSE"
"SLC47A1",0.0211807374445037,0,0,"FALSE"
"PRDM5",0.0213089937259816,0,0,"FALSE"
"PTGER3",0.0213447171824973,0,0,"FALSE"
"MAGEB6",0.0213903743315508,0,0,"FALSE"
"MTG2",0.0214132762312634,0,0,"FALSE"
"ABCG5",0.0217999548647524,0,0,"FALSE"
"TOR1AIP2",0.0225197281160362,0,0.00540540540540541,"FALSE"
"ETV3",0.022564685469935,0.0952380952380952,0.00659340659340659,"FALSE"
"GNAI1",0.0226465948952087,0,0,"FALSE"
"SLC38A6",0.0228466975822888,0,0,"FALSE"
"MTUS2",0.0235141209089877,0,0.00335195530726257,"FALSE"
"CCT6A",0.0246488380032188,0,0.00217155266015201,"FALSE"
"TMEM79",0.0249439924892817,0.0526315789473684,0.0227027027027027,"FALSE"
"RASSF6",0.0249439924892817,0,0,"FALSE"
"MAGEE1",0.0250387343679801,0,0,"FALSE"
"PUS7",0.0251786640621139,0,0.0247191011235955,"FALSE"
"DDX41",0.0254478106559288,0,0.0306818181818182,"FALSE"
"WDR1",0.0261922881765661,0,0.00107181136120043,"FALSE"
