"","pvalues","AMPLIFIED_DELETERIOUS/(AMPLIFIED_DELETERIOUS+AMPLIFIED_WT)","NON_AMPLIFIED_DELETERIOUS/(NON_AMPLIFIED_DELETERIOUS+NON_AMPLIFIED_WT)","tp_flags","Mutational_Freq"
"MTHFD1",0.04,1,0,"FALSE",0.0769230769230769
"MTG2",0.04,1,0,"FALSE",0.04
"SLC6A2",0.04,1,0,"FALSE",0.04
"PLXNA1",0.04,1,0,"TRUE",0.2
"ETV3",0.04,1,0,"FALSE",0.0769230769230769
"SMAD9",0.04,1,0,"FALSE",0.0769230769230769
"SLC44A5",0.04,1,0,"FALSE",0.111111111111111
"TOR1AIP2",0.04,1,0,"FALSE",0.0769230769230769
"USP47",0.04,1,0,"FALSE",0.0769230769230769
"MUS81",0.04,1,0,"FALSE",0.04
"TMEM81",0.04,1,0,"FALSE",0.04
"CD164L2",0.04,1,0,"FALSE",0.04
"BEND3",0.04,1,0,"FALSE",0.0769230769230769
"BRF1",0.04,1,0,"FALSE",0.142857142857143
"ZNF429",0.04,1,0,"FALSE",0.111111111111111
"IPP",0.04,1,0,"FALSE",0.04
"CYP2A6",0.04,1,0,"FALSE",0.04
"ARHGAP11B",0.04,1,0,"FALSE",0.04
"PRDM2",0.0416666666666667,1,0,"TRUE",0.206896551724138
"PRDM5",0.0416666666666667,1,0,"FALSE",0.08
"PRX",0.0434782608695652,1,0,"TRUE",0.214285714285714
"LCA5",0.0434782608695652,1,0,"FALSE",0.148148148148148
"CHD2",0.0434782608695652,1,0,"TRUE",0.266666666666667
"ARHGAP11A",0.0434782608695652,1,0,"TRUE",0.241379310344828
"MUC19",0.0434782608695652,1,0,"TRUE",0.266666666666667
"UBR3",0.0454545454545455,1,0,"FALSE",0.192307692307692
"CUX1",0.0869565217391304,1,0.0454545454545455,"TRUE",0.266666666666667
"PREX2",0.12,1,0.0833333333333333,"FALSE",0.153846153846154
"CCDC9",0.12,1,0.0833333333333333,"FALSE",0.08
"RBL2",0.125,1,0.0869565217391304,"FALSE",0.185185185185185
"CFH",1,0,0.136363636363636,"FALSE",0.185185185185185
"CDH1",1,0,0.136363636363636,"TRUE",0.275862068965517
"TPR",1,0,0.1,"TRUE",0.310344827586207
"MYH9",1,0,0.05,"TRUE",0.290322580645161
"LAMA1",1,0,0.0555555555555556,"TRUE",0.333333333333333
"PPFIBP1",1,0,0.05,"FALSE",0.16
"BIRC6",1,0,0.1,"TRUE",0.4
"PRRC2C",1,0,0.05,"TRUE",0.34375
"HERC2",1,0,0.05,"TRUE",0.333333333333333
"VPS13B",1,0,0.117647058823529,"TRUE",0.564102564102564
"ABCA8",1,0,0.05,"TRUE",0.34375
"SCN3A",1,0,0.05,"TRUE",0.333333333333333
"MAGEC1",1,0,0.136363636363636,"TRUE",0.3
"KALRN",1,0,0.1,"TRUE",0.354838709677419
"MPP3",1,0,0.153846153846154,"FALSE",0.0740740740740741
"EVPL",1,0,0.05,"TRUE",0.25
"LRP1B",1,0,0.05,"TRUE",0.459459459459459
"EVC2",1,0,0.1,"FALSE",0.192307692307692
"ABCA13",1,0,0.0555555555555556,"TRUE",0.51219512195122
"ROBO2",1,0,0.136363636363636,"FALSE",0.185185185185185
"DMD",1,0,0.05,"TRUE",0.333333333333333
"PRRC2A",1,0,0.105263157894737,"TRUE",0.344827586206897
"PLXNA4",1,0,0.05,"TRUE",0.222222222222222
"ZNF469",1,0,0.136363636363636,"TRUE",0.290322580645161
"TSPAN6",1,0,0,"FALSE",0
"TNMD",1,0,0,"FALSE",0.0384615384615385
"DPM1",1,0,0,"FALSE",0.0384615384615385
"SCYL3",1,0,0,"FALSE",0.0384615384615385
"C1orf112",1,0,0,"FALSE",0
"FGR",1,0,0,"FALSE",0
"FUCA2",1,0,0,"FALSE",0
"GCLC",1,0,0,"FALSE",0.04
"NFYA",1,0,0,"FALSE",0
"STPG1",1,0,0,"FALSE",0
"NIPAL3",1,0,0,"FALSE",0.0384615384615385
"LAS1L",1,0,0,"FALSE",0.04
"ENPP4",1,0,0,"FALSE",0.0384615384615385
"SEMA3F",1,0,0,"FALSE",0
"CFTR",1,0,0,"FALSE",0.04
"ANKIB1",1,0,0,"FALSE",0
"CYP51A1",1,0,0,"FALSE",0.04
"KRIT1",1,0,0,"FALSE",0.142857142857143
"RAD52",1,0,0,"FALSE",0.0384615384615385
"MYH16",1,0,0,"FALSE",0
"BAD",1,0,0,"FALSE",0
"LAP3",1,0,0.0833333333333333,"FALSE",0.0769230769230769
"CD99",1,0,0,"FALSE",0
"HS3ST1",1,0,0,"FALSE",0
"AOC1",1,0,0,"FALSE",0.107142857142857
"WNT16",1,0,0,"FALSE",0
"HECW1",1,0,0,"FALSE",0.0769230769230769
"MAD1L1",1,0,0,"FALSE",0
"LASP1",1,0,0,"FALSE",0
"SNX11",1,0,0,"FALSE",0
"TMEM176A",1,0,0,"FALSE",0.142857142857143
"M6PR",1,0,0,"FALSE",0
"KLHL13",1,0,0,"FALSE",0
"CYP26B1",1,0,0,"FALSE",0
"ICA1",1,0,0,"FALSE",0
"DBNDD1",1,0,0,"FALSE",0
"ALS2",1,0,0,"FALSE",0
"CASP10",1,0,0,"FALSE",0
"CFLAR",1,0,0,"FALSE",0.04
"TFPI",1,0,0,"FALSE",0
"NDUFAF7",1,0,0,"FALSE",0.0740740740740741
"RBM5",1,0,0,"FALSE",0
"MTMR7",1,0,0,"FALSE",0
"SLC7A2",1,0,0,"FALSE",0.0384615384615385
"ARF5",1,0,0,"FALSE",0
"SARM1",1,0,0,"FALSE",0
"POLDIP2",1,0,0,"FALSE",0
"PLXND1",1,0,0,"FALSE",0.0740740740740741
"AK2",1,0,0,"FALSE",0
"CD38",1,0,0,"FALSE",0
"FKBP4",1,0,0,"FALSE",0
"KDM1A",1,0,0,"FALSE",0
"RBM6",1,0,0,"FALSE",0
"CAMKK1",1,0,0,"FALSE",0.0769230769230769
"RECQL",1,0,0,"FALSE",0
"VPS50",1,0,0,"FALSE",0
"HSPB6",1,0,0,"FALSE",0
"ARHGAP33",1,0,0.0434782608695652,"FALSE",0.115384615384615
"NDUFAB1",1,0,0,"FALSE",0
"PDK4",1,0,0,"FALSE",0
"SLC22A16",1,0,0,"FALSE",0
"ZMYND10",1,0,0,"FALSE",0
"ABCB5",1,0,0.0416666666666667,"FALSE",0.111111111111111
"ARX",1,0,0,"FALSE",0
"SLC25A13",1,0,0,"FALSE",0
"ST7",1,0,0,"FALSE",0
"CDC27",1,0,0,"FALSE",0.0769230769230769
"SLC4A1",1,0,0,"FALSE",0.0740740740740741
"CALCR",1,0,0,"FALSE",0
"HCCS",1,0,0,"FALSE",0
"DVL2",1,0,0,"FALSE",0
"PRSS22",1,0,0,"FALSE",0
"UPF1",1,0,0,"FALSE",0.111111111111111
"SKAP2",1,0,0,"FALSE",0.0769230769230769
"SLC25A5",1,0,0,"FALSE",0.0384615384615385
"MCUB",1,0,0,"FALSE",0
"HOXA11",1,0,0,"FALSE",0.04
"POLR2J",1,0,0,"FALSE",0
"DHX33",1,0,0,"FALSE",0
"MEOX1",1,0,0,"FALSE",0
"THSD7A",1,0,0,"FALSE",0
"LIG3",1,0,0.0833333333333333,"FALSE",0.166666666666667
"RPAP3",1,0,0,"FALSE",0
"ACSM3",1,0,0,"FALSE",0
"REXO5",1,0,0,"FALSE",0
"CIAPIN1",1,0,0,"FALSE",0
"SPPL2B",1,0,0,"FALSE",0
"FAM214B",1,0,0,"FALSE",0
"COPZ2",1,0,0,"FALSE",0
"PRKAR2B",1,0,0,"FALSE",0
"MSL3",1,0,0,"FALSE",0.04
"CREBBP",1,0,0,"FALSE",0
"TSPOAP1",1,0,0,"FALSE",0
"MPO",1,0,0,"FALSE",0.0740740740740741
"PON1",1,0,0,"FALSE",0.0384615384615385
"GCFC2",1,0,0.0833333333333333,"FALSE",0.115384615384615
"WDR54",1,0,0,"FALSE",0.0384615384615385
"CROT",1,0,0,"FALSE",0
"ABCB4",1,0,0,"FALSE",0.137931034482759
"KMT2E",1,0,0,"FALSE",0.107142857142857
"RHBDD2",1,0,0,"FALSE",0.0769230769230769
"SOX8",1,0,0,"FALSE",0
"IBTK",1,0,0,"FALSE",0.115384615384615
"ZNF195",1,0,0,"FALSE",0
"MYCBP2",1,0,0,"TRUE",0.275862068965517
"FBXL3",1,0,0,"FALSE",0
"ITGAL",1,0,0,"FALSE",0.172413793103448
"PDK2",1,0,0,"FALSE",0
"ITGA3",1,0,0,"FALSE",0.153846153846154
"ZFX",1,0,0,"FALSE",0
"LAMP2",1,0,0,"FALSE",0
"ITGA2B",1,0,0,"FALSE",0.111111111111111
"ASB4",1,0,0,"FALSE",0
"GDE1",1,0,0,"FALSE",0
"REX1BD",1,0,0,"FALSE",0
"CRLF1",1,0,0,"FALSE",0
"OSBPL7",1,0,0,"FALSE",0
"TMEM98",1,0,0,"FALSE",0
"YBX2",1,0,0,"FALSE",0.0384615384615385
"KRT33A",1,0,0,"FALSE",0
"MAP3K14",1,0,0,"FALSE",0
"ABCC8",1,0,0,"FALSE",0.04
"CACNG3",1,0,0,"FALSE",0
"TMEM132A",1,0,0.0416666666666667,"FALSE",0.04
"AP2B1",1,0,0,"FALSE",0
