"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","tp_flags","Mutational_Freq"
"ULK4",7.05881761542616e-06,0.391304347826087,0.0603174603174603,"FALSE",0.0824230387288977
"EXO5",1.54191469826274e-05,0.238095238095238,0.0127118644067797,"FALSE",0.0185185185185185
"TMEM74",3.62077137840225e-05,0.260869565217391,0.0253164556962025,"FALSE",0.033502538071066
"TTC28",0.000114066342538214,0.434782608695652,0.111111111111111,"FALSE",0.152336448598131
"DNAJC13",0.000115761408508467,0.4,0.100409836065574,"FALSE",0.132643461900282
"TBPL2",0.000144076783905495,0.19047619047619,0.0105820105820106,"FALSE",0.0274949083503055
"KIAA1024",0.000215606334626759,0.304347826086957,0.0536842105263158,"FALSE",0.0797244094488189
"ZNF429",0.000229983655140729,0.260869565217391,0.0368809272918862,"FALSE",0.0549450549450549
"LCN6",0.00025568547841998,0.15,0.00424628450106157,"FALSE",0.0082815734989648
"ZNF256",0.000303163037440315,0.272727272727273,0.0411392405063291,"FALSE",0.0524193548387097
"ZSCAN4",0.000312026195425558,0.227272727272727,0.025369978858351,"FALSE",0.0365111561866126
"MYO18B",0.000331749581508621,0.56,0.223320158102767,"TRUE",0.265374894692502
"DSG3",0.000499396682112387,0.307692307692308,0.0724029380902413,"FALSE",0.0892156862745098
"LRRC4C",0.000511798361113632,0.333333333333333,0.0799158780231335,"FALSE",0.096078431372549
"UMOD",0.000543800614384986,0.3,0.0518518518518519,"FALSE",0.0749250749250749
"SLC9A6",0.000621413658804732,0.238095238095238,0.0317124735729387,"FALSE",0.036697247706422
"LONRF1",0.00081451872347502,0.25,0.0454065469904963,"FALSE",0.0465587044534413
"NETO1",0.000818975786168585,0.25,0.0454545454545455,"FALSE",0.0677290836653386
"PLRG1",0.000896020042803181,0.227272727272727,0.0328042328042328,"FALSE",0.0317622950819672
"GLRA3",0.000900237304832531,0.227272727272727,0.0328389830508475,"FALSE",0.0505050505050505
"RAB2B",0.000950166707677721,0.19047619047619,0.0191082802547771,"FALSE",0.0176165803108808
"ARAP2",0.00109080342634508,0.416666666666667,0.140512820512821,"FALSE",0.153339604891816
"RIMKLB",0.00112073756745186,0.19047619047619,0.0201058201058201,"FALSE",0.0305498981670061
"EDN1",0.00114256590719347,0.15,0.00849256900212314,"FALSE",0.0113989637305699
"DDX4",0.00117345095450089,0.260869565217391,0.0514705882352941,"FALSE",0.0601202404809619
"RFX6",0.00119455221829215,0.347826086956522,0.0961337513061651,"FALSE",0.0984251968503937
"ZNF440",0.00119556885108672,0.238095238095238,0.0371549893842887,"FALSE",0.04989816700611
"PFN4",0.00131667291116778,0.142857142857143,0.00848356309650053,"FALSE",0.0123839009287926
"GSTK1",0.00131667291116778,0.142857142857143,0.00848356309650053,"FALSE",0.0134020618556701
"UQCC1",0.00132062658050236,0.142857142857143,0.00849256900212314,"FALSE",0.0215384615384615
"MAGEE1",0.00133156502902465,0.304347826086957,0.0741127348643006,"FALSE",0.0863591756624141
"MRPL33",0.00134216779650372,0.0952380952380952,0.00106157112526539,"FALSE",0.0062111801242236
"AGO3",0.00142370418806961,0.217391304347826,0.0348837209302326,"FALSE",0.0465116279069767
"TMEM108",0.00142370418806961,0.217391304347826,0.0348837209302326,"FALSE",0.0504540867810293
"MYO3A",0.00143215245937025,0.387096774193548,0.150253807106599,"FALSE",0.166515013648772
"VSIG1",0.00150318089856352,0.15,0.00955414012738853,"FALSE",0.0235414534288639
