"","pvalues","AMPLIFIED_MUTATED/(AMPLIFIED_MUTATED+AMPLIFIED_WT)","NON_AMPLIFIED_MUTATED/(NON_AMPLIFIED_MUTATED+NON_AMPLIFIED_WT)","tp_flags","Mutational_Freq"
"FANCD2",0.000735919401778794,0.666666666666667,0.0144274120829576,"FALSE",0.0238210986874088
"AHNAK2",0.0333344994342302,0.75,0.213740458015267,"TRUE",0.236981465136805
"TP53",0.046179484908744,1,0.213836477987421,"TRUE",0.393791574279379
"COL12A1",0.0690663612214559,0.5,0.0342960288808664,"FALSE",0.0511830033800097
"USH2A",0.111844277952975,0.5,0.0567567567567568,"FALSE",0.0839731285988484
"PIK3CA",0.499940327510702,0,0.48741610738255,"TRUE",0.475620188195038
"TTYH1",1,0,0.0072202166064982,"FALSE",0.0126397666504618
"AGMO",1,0,0.0072202166064982,"FALSE",0.0155642023346304
"SBNO1",1,0,0.01985559566787,"FALSE",0.017535314174379
"LDLRAP1",1,0,0.0072202166064982,"FALSE",0.00730638090599123
"EGFR",1,0,0.0108303249097473,"FALSE",0.017969888295289
"KDM3A",1,0,0.0126353790613718,"FALSE",0.0180136319376826
"SETD2",1,0,0.0297297297297297,"FALSE",0.0310981535471331
"CDH1",1,0,0.117805755395683,"FALSE",0.115439429928741
"PRKCE",1,0,0.00902527075812274,"FALSE",0.00972762645914397
"RPGR",1,0,0.0216606498194946,"FALSE",0.0262008733624454
"AFF2",1,0,0.0189530685920578,"FALSE",0.0213488597768074
"GPR32",1,0,0.00721370604147881,"FALSE",0.00875912408759124
"MYO3A",1,0,0.0171325518485122,"FALSE",0.0276564774381368
"CBFB",1,0,0.0577096483318305,"FALSE",0.0552058111380145
"CASP8",1,0,0.0162454873646209,"FALSE",0.0179961089494163
"PRKCZ",1,0,0.0108303249097473,"FALSE",0.00828460038986355
"FOXP1",1,0,0.0072202166064982,"FALSE",0.0087719298245614
"FLT3",1,0,0.0072202166064982,"FALSE",0.0155113911778963
"PPP2R2A",1,0,0.00631768953068592,"FALSE",0.0068259385665529
"SIK2",1,0,0.0126353790613718,"FALSE",0.0136186770428016
"LIPI",1,0,0.00631768953068592,"FALSE",0.00682926829268293
"BAP1",1,0,0.018034265103697,"FALSE",0.019931939718036
"ATR",1,0,0.0387736699729486,"FALSE",0.0455426356589147
"ERBB2",1,0,0.0377697841726619,"FALSE",0.0372881355932203
"ERBB4",1,0,0.0108303249097473,"FALSE",0.0165208940719145
"SHANK2",1,0,0.0384615384615385,"FALSE",0.0400192864030858
"CLRN2",1,0,0.0072202166064982,"FALSE",0.00778967867575463
"ACVRL1",1,0,0.00451263537906137,"FALSE",0.00633528265107212
"CLK3",1,0,0.00902527075812274,"FALSE",0.00876765708718948
"TG",1,0,0.0576057605760576,"FALSE",0.0688493018777082
"PTEN",1,0,0.0519713261648745,"FALSE",0.0511089681774349
"MAP3K13",1,0,0.00721370604147881,"FALSE",0.0116731517509728
"GPS2",1,0,0.0072202166064982,"FALSE",0.0126582278481013
"RERE",1,0,0,"FALSE",0
"RNF165",1,0,0,"FALSE",0
"CD049690",1,0,0,"FALSE",0
"BC033982",1,0,0,"FALSE",0
"PHF7",1,0,0,"FALSE",0
"CIDEA",1,0,0,"FALSE",0
"PAPD4",1,0,0,"FALSE",0
"AI082173",1,0,0,"FALSE",0
"SLC17A3",1,0,0,"FALSE",0
"SDS",1,0,0,"FALSE",0
"ATP6V1C2",1,0,0,"FALSE",0
"F3",1,0,0,"FALSE",0
"FAM71C",1,0,0,"FALSE",0
"AK055082",1,0,0,"FALSE",0
"BU687559",1,0,0,"FALSE",0
"LIN52",1,0,0,"FALSE",0
"PCOTH",1,0,0,"FALSE",0
"GRM1",1,0,0,"FALSE",0
"FXN",1,0,0,"FALSE",0
"SLC9A1",1,0,0,"FALSE",0
"PML",1,0,0,"FALSE",0
"CR749394",1,0,0,"FALSE",0
"CD164",1,0,0,"FALSE",0
"DB337918",1,0,0,"FALSE",0
"MOBKL2A",1,0,0,"FALSE",0
"HGC6.1.1",1,0,0,"FALSE",0
"OR1J2",1,0,0,"FALSE",0
"GNG5",1,0,0,"FALSE",0
"TAF15",1,0,0,"FALSE",0
"EXTL3",1,0,0,"FALSE",0
"CNPY3",1,0,0,"FALSE",0
"C19orf24",1,0,0,"FALSE",0
"GAS2L2",1,0,0,"FALSE",0
"AA913006",1,0,0,"FALSE",0
"C21orf33",1,0,0,"FALSE",0
"DA442494",1,0,0,"FALSE",0
"P2RX1",1,0,0,"FALSE",0
"CD515666",1,0,0,"FALSE",0
"LRR1",1,0,0,"FALSE",0
"ATP1B2",1,0,0,"FALSE",0
"BM668203",1,0,0,"FALSE",0
"UBLCP1",1,0,0,"FALSE",0
"BG236224",1,0,0,"FALSE",0
"ADAMTSL4",1,0,0,"FALSE",0
"BX109195",1,0,0,"FALSE",0
"IL28B",1,0,0,"FALSE",0
"DES",1,0,0,"FALSE",0
"HERC2P9",1,0,0,"FALSE",0
"BC033582",1,0,0,"FALSE",0
"PRR16",1,0,0.00541516245487365,"FALSE",0.00730282375851996
"HIPK2",1,0,0,"FALSE",0
"SHMT2",1,0,0,"FALSE",0
"MRPS5",1,0,0,"FALSE",0
"SNORD36C",1,0,0,"FALSE",0
"CHRNA6",1,0,0,"FALSE",0
"TBC1D22A",1,0,0,"FALSE",0
"RPL35",1,0,0,"FALSE",0
"AI251715",1,0,0,"FALSE",0
"ST6GALNAC4",1,0,0,"FALSE",0
"TM2D1",1,0,0,"FALSE",0
"RASD2",1,0,0,"FALSE",0
"BM987095",1,0,0,"FALSE",0
"CD364315",1,0,0,"FALSE",0
"UBE2DNL",1,0,0,"FALSE",0
"TFAP2D",1,0,0,"FALSE",0
"ITGA10",1,0,0,"FALSE",0
"LYRM5",1,0,0,"FALSE",0
"LPPR1",1,0,0,"FALSE",0
"MARS2",1,0,0,"FALSE",0
"MAGEC1",1,0,0,"FALSE",0
"PDIA6",1,0,0,"FALSE",0
"FLJ41130",1,0,0,"FALSE",0
"SLC25A25",1,0,0,"FALSE",0
"BX109285",1,0,0,"FALSE",0
"AI979035",1,0,0,"FALSE",0
"FGFBP2",1,0,0,"FALSE",0
"LRRC23",1,0,0,"FALSE",0
"PNCK",1,0,0,"FALSE",0
"CA429570",1,0,0,"FALSE",0
"RPS24",1,0,0,"FALSE",0
"C14orf102",1,0,0,"FALSE",0
"AA885282",1,0,0,"FALSE",0
"GLT8D2",1,0,0,"FALSE",0
"AW516315",1,0,0,"FALSE",0
"IGM1",1,0,0,"FALSE",0
"EFCAB4A",1,0,0,"FALSE",0
"REEP3",1,0,0,"FALSE",0
"ECI2",1,0,0,"FALSE",0
"BTBD3",1,0,0,"FALSE",0
"AI808614",1,0,0,"FALSE",0
"RBM17",1,0,0,"FALSE",0
"LOC339524",1,0,0,"FALSE",0
"TRNAU1AP",1,0,0,"FALSE",0
"IL21R",1,0,0,"FALSE",0
"AK094525",1,0,0,"FALSE",0
"RASSF4",1,0,0,"FALSE",0
"BM676998",1,0,0,"FALSE",0
"PLXNB2",1,0,0,"FALSE",0
"OR8H2",1,0,0,"FALSE",0
"ANTXR2",1,0,0,"FALSE",0
"GALK2",1,0,0,"FALSE",0
"BX100078",1,0,0,"FALSE",0
"FAM90A13",1,0,0,"FALSE",0
"C17orf37",1,0,0,"FALSE",0
"TMEM59",1,0,0,"FALSE",0
"BCAN",1,0,0,"FALSE",0
"TXNDC11",1,0,0,"FALSE",0
"DOCK2",1,0,0,"FALSE",0
"ARFIP1",1,0,0,"FALSE",0
"LARGE",1,0,0.0036101083032491,"FALSE",0.0102189781021898
"BE265648",1,0,0,"FALSE",0
"PDXDC2P",1,0,0,"FALSE",0
"RBMY1F",1,0,0,"FALSE",0
"SLITRK3",1,0,0,"FALSE",0
"ACMSD",1,0,0,"FALSE",0
"KRT8",1,0,0,"FALSE",0
"HIST2H2BF",1,0,0,"FALSE",0
"AW299747",1,0,0,"FALSE",0
"ADAMTS6",1,0,0,"FALSE",0
"CREB3L2",1,0,0,"FALSE",0
"PANX3",1,0,0,"FALSE",0
"STATH",1,0,0,"FALSE",0
"C6orf155",1,0,0,"FALSE",0
"HERC2P7",1,0,0,"FALSE",0
"CD52",1,0,0,"FALSE",0
"SLC6A17",1,0,0,"FALSE",0
"ARPC5",1,0,0,"FALSE",0
"GABRA2",1,0,0,"FALSE",0
"BM665543",1,0,0,"FALSE",0
"YIPF1",1,0,0,"FALSE",0
"ZNF385A",1,0,0,"FALSE",0
"F11",1,0,0,"FALSE",0
"BM313460",1,0,0,"FALSE",0
"DHX35",1,0,0,"FALSE",0
"FUBP1",1,0,0,"FALSE",0
"AA084299",1,0,0,"FALSE",0
"AI205959",1,0,0,"FALSE",0
"HIST1H1T",1,0,0,"FALSE",0
"BX119689",1,0,0,"FALSE",0
"SLC7A1",1,0,0,"FALSE",0
"PRDM4",1,0,0,"FALSE",0
